time,zone_id,out perfect_trips,out perfect_pax,in perfect_trips,in perfect_pax
900,4,3,3,10,10
900,261,2,2,11,11
900,262,2,2,6,6
900,137,6,6,15,15
900,140,1,1,7,7
900,13,1,1,10,10
900,141,11,11,13,13
900,142,22,22,15,15
900,143,2,2,13,13
900,144,19,19,16,16
900,148,47,47,32,32
900,151,4,4,10,10
900,24,0,0,6,6
900,152,0,0,1,1
900,158,32,32,20,20
900,161,21,21,13,13
900,162,17,17,16,16
900,163,11,11,15,15
900,164,23,23,26,26
900,166,5,5,8,8
900,41,7,7,9,9
900,42,1,1,6,6
900,43,3,3,4,4
900,170,14,14,28,28
900,45,1,1,9,9
900,48,51,51,31,31
900,50,6,6,11,11
900,186,18,18,24,24
900,68,38,38,30,30
900,74,2,2,9,9
900,75,4,4,8,8
900,79,72,72,46,46
900,209,4,4,2,2
900,211,11,11,4,4
900,87,9,9,12,12
900,88,0,0,2,2
900,90,24,24,24,24
900,224,1,1,6,6
900,100,20,20,14,14
900,229,10,10,9,9
900,230,45,45,14,14
900,231,10,10,20,20
900,232,2,2,7,7
900,233,6,6,13,13
900,234,28,28,14,14
900,107,24,24,18,18
900,236,4,4,15,15
900,237,11,11,10,10
900,238,8,8,8,8
900,239,10,10,15,15
900,113,9,9,9,9
900,114,33,33,18,18
900,243,0,0,3,3
900,116,2,2,4,4
900,244,2,2,6,6
900,246,13,13,17,17
900,249,36,36,23,23
900,125,5,5,7,7
900,127,0,0,1,1
1800,4,1,1,8,8
1800,261,2,2,7,7
1800,262,4,4,7,7
1800,137,5,5,27,27
1800,140,3,3,7,7
1800,13,4,4,11,11
1800,141,10,10,15,15
1800,142,21,21,14,14
1800,143,3,3,9,9
1800,144,20,20,15,15
1800,12,0,0,1,1
1800,148,53,53,36,36
1800,151,4,4,5,5
1800,24,2,2,4,4
1800,152,0,0,5,5
1800,158,31,31,15,15
1800,161,16,16,7,7
1800,162,9,9,19,19
1800,163,5,5,9,9
1800,164,32,32,19,19
1800,166,5,5,3,3
1800,41,2,2,8,8
1800,42,2,2,9,9
1800,43,3,3,4,4
1800,170,20,20,26,26
1800,45,5,5,6,6
1800,48,44,44,31,31
1800,50,12,12,12,12
1800,186,13,13,23,23
1800,68,25,25,21,21
1800,74,1,1,10,10
1800,75,5,5,9,9
1800,79,80,80,34,34
1800,209,4,4,5,5
1800,211,11,11,7,7
1800,87,8,8,9,9
1800,88,1,1,1,1
1800,90,24,24,12,12
1800,224,1,1,7,7
1800,100,15,15,6,6
1800,229,13,13,16,16
1800,230,28,28,16,16
1800,231,15,15,15,15
1800,232,5,5,4,4
1800,233,6,6,14,14
1800,234,27,27,25,25
1800,107,21,21,26,26
1800,236,5,5,6,6
1800,237,5,5,10,10
1800,238,2,2,18,18
1800,239,6,6,9,9
1800,113,7,7,13,13
1800,114,29,29,21,21
1800,243,0,0,7,7
1800,116,2,2,6,6
1800,244,0,0,6,6
1800,246,12,12,19,19
1800,249,48,48,26,26
1800,125,7,7,4,4
2700,4,2,2,4,4
2700,261,1,1,6,6
2700,262,1,1,10,10
2700,137,8,8,17,17
2700,140,3,3,6,6
2700,13,5,5,10,10
2700,141,1,1,19,19
2700,142,11,11,13,13
2700,143,3,3,9,9
2700,144,22,22,12,12
2700,12,0,0,2,2
2700,148,58,58,31,31
2700,151,4,4,8,8
2700,24,1,1,1,1
2700,152,0,0,5,5
2700,158,28,28,13,13
2700,161,11,11,4,4
2700,162,11,11,16,16
2700,163,12,12,11,11
2700,164,21,21,18,18
2700,166,2,2,3,3
2700,41,4,4,9,9
2700,170,18,18,25,25
2700,42,0,0,8,8
2700,43,0,0,4,4
2700,45,1,1,3,3
2700,48,36,36,23,23
2700,50,10,10,14,14
2700,186,14,14,25,25
2700,68,25,25,25,25
2700,74,4,4,6,6
2700,75,1,1,11,11
2700,79,57,57,44,44
2700,209,0,0,4,4
2700,211,14,14,10,10
2700,87,8,8,14,14
2700,88,1,1,3,3
2700,90,15,15,14,14
2700,224,2,2,3,3
2700,100,13,13,8,8
2700,229,12,12,16,16
2700,230,36,36,12,12
2700,231,15,15,9,9
2700,232,3,3,3,3
2700,233,2,2,14,14
2700,234,16,16,17,17
2700,107,31,31,19,19
2700,236,6,6,15,15
2700,237,10,10,14,14
2700,238,6,6,14,14
