charging_station_id,charging_units,node_index
115095,6.0:3;50.0:0,1844
150660,6.0:5;50.0:0,984
195065,6.0:1;50.0:0,1384
115159,6.0:3;50.0:0,1999
115111,6.0:3;50.0:0,3968
115160,6.0:2;50.0:0,1311
233092,6.0:4;50.0:0,3818
115031,6.0:2;50.0:0,1832
184330,6.0:1;50.0:0,3999
219453,6.0:1;50.0:0,621
150580,6.0:2;50.0:0,2761
115150,6.0:2;50.0:0,2743
221326,6.0:2;50.0:0,439
115074,6.0:3;50.0:0,714
168885,6.0:3;50.0:0,2586
115044,6.0:3;50.0:0,2022
115078,6.0:3;50.0:0,1817
115130,6.0:1;50.0:0,4030
115012,6.0:3;50.0:0,1840
223256,6.0:4;50.0:0,3417
115092,6.0:3;50.0:0,2690
115020,6.0:3;50.0:0,2760
115040,6.0:3;50.0:0,2723
115071,6.0:3;50.0:0,1116
150722,6.0:3;50.0:0,2104
115080,6.0:3;50.0:0,2519
115055,6.0:3;50.0:0,1305
192740,6.0:1;50.0:0,3889
115133,6.0:3;50.0:0,382
115176,6.0:3;50.0:0,2986
115152,6.0:3;50.0:0,1454
218294,6.0:5;50.0:0,1091
115186,6.0:3;50.0:0,1114
122489,6.0:4;50.0:0,1637
