from_node,to_node,distance,travel_time,source_edge_id
0,1,86.26,2.88,
0,2,85.34,2.84,
0,3,138.03,4.60,
1,4,137.84,4.59,
1,5,80.11,2.67,
1,0,86.26,2.88,
2,6,138.00,4.60,
2,0,85.34,2.84,
2,7,80.05,2.67,
3,6,86.15,2.87,
3,4,85.61,2.85,
3,0,138.03,4.60,
3,8,134.77,4.49,
4,9,135.82,4.53,
4,10,80.18,2.67,
4,3,85.61,2.85,
5,11,79.68,2.66,
5,1,80.11,2.67,
6,12,135.01,4.50,
6,3,86.15,2.87,
6,13,81.29,2.71,
7,2,80.05,2.67,
7,14,79.79,2.66,
8,3,134.77,4.49,
8,12,85.99,2.87,
8,15,271.35,9.05,
9,19,270.53,9.02,
9,8,85.20,2.84,
10,20,79.88,2.66,
10,4,80.18,2.67,
10,5,138.19,4.61,
11,20,137.97,4.60,
11,5,79.68,2.66,
11,3395,49.48,1.65,
12,16,271.74,9.06,
12,17,82.25,2.74,
13,6,81.29,2.71,
13,18,78.98,2.63,
13,7,137.97,4.60,
14,18,137.75,4.59,
14,7,79.79,2.66,
14,840,80.05,2.67,
15,19,86.11,2.87,
15,21,199.80,6.66,
15,8,271.35,9.05,
16,22,161.71,5.39,
16,15,85.96,2.87,
17,13,135.13,4.50,
17,23,309.53,10.32,
18,13,78.98,2.63,
18,861,79.17,2.64,
19,24,240.01,8.00,
19,25,79.48,2.65,
20,3095,135.29,4.51,
20,3096,72.13,2.40,
20,10,79.88,2.66,
21,26,22.09,0.74,
21,24,95.34,3.18,
21,15,199.80,6.66,
22,32,21.89,0.73,
22,21,93.98,3.13,
23,731,245.18,8.17,
23,862,135.78,4.53,
24,27,21.23,0.71,
24,28,83.51,2.78,
25,29,270.90,9.03,
25,30,80.88,2.70,
26,21,22.09,0.74,
26,31,55.92,1.86,
26,32,93.40,3.11,
27,2096,20.08,0.67,
27,26,95.26,3.18,
28,25,264.41,8.81,
28,2100,79.25,2.64,
29,9,80.03,2.67,
29,10,135.30,4.51,
30,2100,265.76,8.86,
30,2105,74.98,2.50,
31,33,142.26,4.74,
31,26,55.92,1.86,
31,34,85.58,2.85,
32,34,92.33,3.08,
32,35,84.23,2.81,
33,36,85.18,2.84,
33,31,142.26,4.74,
34,37,143.46,4.78,
34,38,80.09,2.67,
34,31,85.58,2.85,
35,39,19.57,0.65,
35,40,79.96,2.67,
36,41,80.67,2.69,
37,33,86.11,2.87,
38,35,115.98,3.87,
38,34,80.09,2.67,
38,42,80.15,2.67,
39,2095,139.38,4.65,
39,22,82.90,2.76,
40,42,126.73,4.22,
40,2089,80.45,2.68,
41,43,138.42,4.61,
41,44,79.98,2.67,
42,2093,143.44,4.78,
42,38,80.15,2.67,
42,2087,79.39,2.65,
43,28,18.85,0.63,
43,2098,11.94,0.40,
44,2099,78.89,2.63,
45,46,86.01,2.87,
46,47,86.59,2.89,
46,48,272.56,9.09,
47,49,77.31,2.58,
48,46,272.56,9.09,
48,50,86.18,2.87,
48,51,151.78,5.06,
49,675,274.03,9.13,
49,677,271.67,9.06,
49,678,84.95,2.83,
50,45,271.70,9.06,
50,52,81.62,2.72,
51,63,17.45,0.58,
51,48,151.78,5.06,
51,62,86.18,2.87,
52,53,151.86,5.06,
52,54,80.43,2.68,
52,55,272.00,9.07,
53,56,17.89,0.60,
53,57,80.96,2.70,
54,58,271.69,9.06,
54,59,79.87,2.66,
55,60,274.22,9.14,
55,45,78.88,2.63,
56,71,105.41,3.51,
56,61,81.38,2.71,
57,54,149.68,4.99,
57,126,79.81,2.66,
58,55,83.58,2.79,
58,119,273.54,9.12,
59,126,148.66,4.96,
59,127,80.11,2.67,
60,679,974.44,32.48,
60,119,85.71,2.86,
60,55,274.22,9.14,
60,675,324.60,10.82,
61,62,17.10,0.57,
61,63,86.21,2.87,
62,50,152.26,5.08,
62,53,81.22,2.71,
63,51,17.45,0.58,
63,64,104.80,3.49,
63,65,87.03,2.90,
64,66,142.72,4.76,
64,63,104.80,3.49,
64,67,86.55,2.89,
64,68,87.29,2.91,
65,69,18.20,0.61,
65,70,80.20,2.67,
66,78,18.78,0.63,
66,79,88.02,2.93,
66,74,87.48,2.92,
