sim_time,reservation_time_trigger,charging_strategy,repositioning_strategy,user_requests
0,0.0,0.004,0.298,0.06982000000000001
60,0.0,0.005,0.0,0.01574
120,0.0,0.002,0.0,0.019119999999999998
180,0.0,0.004,0.0,0.01403
240,0.0,0.001,0.0,0.00351
300,0.0,0.001,0.303,0.01209
360,0.0,0.004,0.0,0.00574
420,0.0,0.002,0.0,0.01228
480,0.0,0.004,0.0,0.008490000000000001
540,0.0,0.002,0.0,0.00986
600,0.0,0.001,0.395,0.011349999999999999
660,0.0,0.003,0.0,0.01798
720,0.0,0.001,0.0,0.019389999999999998
780,0.0,0.001,0.0,0.00761
840,0.0,0.001,0.0,0.0056500000000000005
900,0.0,0.003,0.304,0.00573
960,0.0,0.003,0.0,0.00987
1020,0.0,0.001,0.0,0.01251
1080,0.0,0.001,0.0,0.011659999999999998
1140,0.0,0.002,0.0,0.003
1200,0.0,0.003,0.298,0.00596
1260,0.0,0.003,0.0,0.00893
1320,0.0,0.003,0.0,0.01217
1380,0.0,0.001,0.0,0.01084
1440,0.0,0.001,0.0,0.0
1500,0.0,0.003,0.299,0.016900000000000002
1560,0.0,0.001,0.0,0.0093
1620,0.0,0.003,0.0,0.01134
1680,0.0,0.004,0.0,0.013829999999999999
1740,0.0,0.001,0.0,0.01155
1800,0.0,0.001,0.346,0.01109
1860,0.0,0.001,0.0,0.01092
1920,0.0,0.003,0.0,0.008450000000000001
1980,0.0,0.003,0.0,0.00539
2040,0.0,0.001,0.0,0.00876
2100,0.0,0.001,0.349,0.01301
2160,0.0,0.004,0.0,0.011779999999999999
2220,0.0,0.003,0.0,0.00609
2280,0.0,0.001,0.0,0.023629999999999998
2340,0.0,0.001,0.0,0.00812
2400,0.0,0.001,0.355,0.01217
2460,0.0,0.004,0.0,0.0058
2520,0.0,0.001,0.0,0.00594
2580,0.0,0.001,0.0,0.00645
2640,0.0,0.003,0.0,0.00852
2700,0.0,0.001,0.3,0.0
2760,0.0,0.001,0.0,0.00569
2820,0.0,0.003,0.0,0.01664
2880,0.0,0.001,0.0,0.00285
2940,0.0,0.001,0.0,0.01655
3000,0.0,0.003,0.299,0.0187
3060,0.0,0.001,0.0,0.01667
3120,0.0,0.001,0.0,0.0164
3180,0.0,0.002,0.0,0.00924
3240,0.0,0.003,0.0,0.01712
3300,0.0,0.001,0.298,0.00304
3360,0.0,0.001,0.0,0.00312
3420,0.0,0.001,0.0,0.00673
3480,0.0,0.001,0.0,0.01645
3540,0.0,0.001,0.0,0.0035
