simulation_time,driving,break,on shift break,idle,charging,reposition
0,0,0,0,200,0,0
900,22,0,0,167,9,0
1800,22,0,0,162,14,0
2700,31,0,0,152,15,0
3600,17,0,0,160,20,0
4500,23,0,0,163,11,0
5400,18,0,0,177,3,0
6300,25,0,0,167,7,0
7200,17,0,0,172,8,0
8100,15,0,0,169,14,0
9000,21,0,0,166,9,0
9900,7,0,0,187,4,0
10800,16,0,0,176,4,0
11700,3,0,0,194,3,0
12600,5,0,0,192,3,0
13500,6,0,0,190,4,0
14400,5,0,0,188,6,0
15300,2,0,0,196,1,0
16200,4,0,0,194,1,0
17100,0,0,0,199,0,0
18000,1,0,0,199,0,0
18900,0,0,0,200,0,0
19800,0,0,0,200,0,0
20700,1,0,0,199,0,0
21600,0,0,0,200,0,0
22500,2,0,0,197,1,0
23400,3,0,0,196,1,0
24300,0,0,0,200,0,0
25200,0,0,0,198,1,0
26100,1,0,0,198,1,0
27000,4,0,0,196,0,0
27900,3,0,0,194,2,0
28800,3,0,0,195,2,0
29700,0,0,0,194,5,0
30600,5,0,0,190,4,0
31500,5,0,0,192,3,0
32400,7,0,0,192,1,0
33300,9,0,0,185,3,0
34200,14,0,0,183,3,0
35100,22,0,0,170,6,0
36000,16,0,0,173,10,0
36900,22,0,0,167,8,0
37800,19,0,0,168,13,0
38700,22,0,0,165,13,0
39600,21,0,0,162,15,0
40500,32,0,0,150,16,0
41400,26,0,0,161,11,0
42300,21,0,0,158,19,0
43200,27,0,0,153,12,0
44100,31,0,0,155,11,0
45000,29,0,0,153,14,0
45900,35,0,0,145,18,0
46800,36,0,0,143,17,0
47700,32,0,0,146,17,0
48600,30,0,0,140,21,0
49500,33,0,0,142,19,0
50400,33,0,0,147,13,0
51300,36,0,0,147,11,0
52200,28,0,0,148,21,0
53100,30,0,0,148,18,0
54000,26,0,0,145,23,0
54900,25,0,0,143,26,0
55800,30,0,0,149,17,0
56700,31,0,0,155,12,0
57600,29,0,0,152,14,0
58500,37,0,0,145,16,0
59400,26,0,0,150,20,0
60300,27,0,0,156,16,0
61200,44,0,0,150,6,0
62100,41,0,0,136,13,0
63000,35,0,0,145,18,0
63900,43,0,0,141,14,0
64800,45,0,0,127,24,0
65700,57,0,0,111,24,0
66600,50,0,0,124,21,0
67500,44,0,0,128,23,0
68400,52,0,0,119,23,0
69300,43,0,0,127,24,0
70200,56,0,0,110,26,0
71100,38,0,0,133,27,0
72000,35,0,0,127,33,0
72900,26,0,0,150,23,0
73800,24,0,0,154,16,0
74700,36,0,0,148,13,0
75600,36,0,0,147,14,0
76500,36,0,0,150,10,0
77400,35,0,0,147,13,0
78300,28,0,0,164,7,0
79200,34,0,0,150,14,0
80100,37,0,0,141,19,0
81000,40,0,0,130,25,0
81900,37,0,0,136,25,0
82800,40,0,0,144,15,0
83700,39,0,0,139,17,0
84600,35,0,0,135,24,0
85500,49,0,0,123,22,0
86400,58,0,0,108,25,0
87300,33,0,0,144,22,0
88200,15,0,0,171,13,0
89100,16,0,0,171,10,0
90000,14,0,0,174,10,0
90900,14,0,0,179,5,0
91800,11,0,0,186,3,0
92700,12,0,0,180,7,0
93600,12,0,0,178,5,0
94500,8,0,0,180,10,0
95400,7,0,0,185,8,0
96300,10,0,0,184,4,0
97200,14,0,0,184,2,0
98100,3,0,0,192,3,0
99000,8,0,0,191,1,0
99900,9,0,0,189,2,0
100800,1,0,0,196,2,0
101700,1,0,0,198,1,0
102600,4,0,0,195,1,0
103500,1,0,0,197,2,0
104400,1,0,0,198,1,0
105300,0,0,0,200,0,0
106200,1,0,0,199,0,0
107100,0,0,0,200,0,0
108000,0,0,0,200,0,0
108900,0,0,0,200,0,0
109800,0,0,0,200,0,0
110700,0,0,0,199,0,0
111600,0,0,0,199,1,0
112500,1,0,0,198,1,0
113400,7,0,0,193,0,0
114300,3,0,0,194,3,0
115200,3,0,0,197,0,0
116100,1,0,0,199,0,0
117000,1,0,0,199,0,0
117900,6,0,0,194,0,0
118800,7,0,0,192,0,0
119700,4,0,0,194,2,0
120600,6,0,0,190,4,0
121500,12,0,0,184,4,0
122400,10,0,0,183,6,0
123300,13,0,0,180,6,0
124200,13,0,0,180,1,0
125100,20,0,0,175,5,0
126000,19,0,0,168,10,0
126900,20,0,0,163,14,0
127800,24,0,0,166,10,0
128700,20,0,0,162,13,0
129600,26,0,0,162,7,0
130500,26,0,0,157,11,0
131400,26,0,0,161,11,0
132300,18,0,0,159,19,0
133200,33,0,0,153,14,0
134100,23,0,0,158,17,0
135000,17,0,0,166,16,0
135900,33,0,0,154,9,0
136800,29,0,0,157,10,0
137700,31,0,0,151,15,0
138600,39,0,0,146,13,0
139500,42,0,0,138,16,0
140400,41,0,0,135,22,0
141300,32,0,0,148,15,0
142200,24,0,0,158,13,0
143100,26,0,0,159,12,0
144000,23,0,0,153,13,0
144900,31,0,0,153,11,0
145800,26,0,0,157,13,0
146700,36,0,0,143,16,0
147600,32,0,0,149,18,0
148500,42,0,0,136,19,0
149400,32,0,0,145,20,0
150300,33,0,0,144,19,0
151200,21,0,0,151,23,0
152100,32,0,0,153,13,0
153000,46,0,0,131,19,0
153900,31,0,0,153,10,0
154800,28,0,0,159,10,0
155700,24,0,0,169,5,0
156600,30,0,0,152,14,0
157500,21,0,0,157,15,0
158400,28,0,0,152,15,0
159300,20,0,0,164,14,0
160200,17,0,0,170,11,0
161100,31,0,0,157,8,0
162000,18,0,0,164,15,0
162900,24,0,0,161,12,0
163800,18,0,0,167,12,0
164700,15,0,0,173,10,0
165600,20,0,0,171,7,0
166500,31,0,0,153,12,0
167400,11,0,0,175,12,0
168300,13,0,0,176,9,0
169200,12,0,0,181,6,0
170100,9,0,0,187,3,0
171000,6,0,0,188,3,0
