sim_time,reservation_time_trigger,charging_strategy,repositioning_strategy,user_requests
0,0.0,0.006,0.313,0.01942
60,0.0,0.002,0.0,0.01399
120,0.0,0.001,0.0,0.01754
180,0.0,0.002,0.0,0.012709999999999999
240,0.0,0.001,0.0,0.00234
300,0.0,0.001,0.312,0.01141
360,0.0,0.001,0.0,0.00592
420,0.0,0.002,0.0,0.01093
480,0.0,0.002,0.0,0.00671
540,0.0,0.001,0.0,0.00845
600,0.0,0.002,0.393,0.00946
660,0.0,0.003,0.0,0.02636
720,0.0,0.007,0.0,0.016390000000000002
780,0.0,0.001,0.0,0.0075
840,0.0,0.002,0.0,0.00528
900,0.0,0.001,0.362,0.00445
960,0.0,0.002,0.0,0.0064600000000000005
1020,0.0,0.001,0.0,0.00921
1080,0.0,0.001,0.0,0.01022
1140,0.0,0.001,0.0,0.00234
1200,0.0,0.002,0.304,0.0046099999999999995
1260,0.0,0.001,0.0,0.00681
1320,0.0,0.003,0.0,0.01003
1380,0.0,0.002,0.0,0.01023
1440,0.0,0.001,0.0,0.0
1500,0.0,0.001,0.297,0.013989999999999999
1560,0.0,0.001,0.0,0.00801
1620,0.0,0.001,0.0,0.0108
1680,0.0,0.001,0.0,0.01131
1740,0.0,0.001,0.0,0.009729999999999999
1800,0.0,0.001,0.323,0.009819999999999999
1860,0.0,0.001,0.0,0.01091
1920,0.0,0.001,0.0,0.008060000000000001
1980,0.0,0.001,0.0,0.00549
2040,0.0,0.002,0.0,0.00672
2100,0.0,0.002,0.303,0.00981
2160,0.0,0.002,0.0,0.01082
2220,0.0,0.005,0.0,0.0052499999999999995
2280,0.0,0.001,0.0,0.0186
2340,0.0,0.001,0.0,0.01108
2400,0.0,0.004,0.363,0.01365
2460,0.0,0.001,0.0,0.00451
2520,0.0,0.001,0.0,0.00558
2580,0.0,0.003,0.0,0.00549
2640,0.0,0.001,0.0,0.007389999999999999
2700,0.0,0.001,0.307,0.0
2760,0.0,0.001,0.0,0.00703
2820,0.0,0.001,0.0,0.01864
2880,0.0,0.001,0.0,0.00226
2940,0.0,0.001,0.0,0.01516
3000,0.0,0.001,0.407,0.01762
3060,0.0,0.003,0.0,0.03393
3120,0.0,0.002,0.0,0.02441
3180,0.0,0.001,0.0,0.00857
3240,0.0,0.001,0.0,0.014530000000000001
3300,0.0,0.001,0.314,0.00232
3360,0.0,0.001,0.0,0.00307
3420,0.0,0.003,0.0,0.005299999999999999
3480,0.0,0.003,0.0,0.01421
3540,0.0,0.001,0.0,0.00225
3600,0.0,0.001,0.296,0.0
3660,0.0,0.001,0.0,0.009080000000000001
3720,0.0,0.001,0.0,0.00697
3780,0.0,0.002,0.0,0.01538
3840,0.0,0.001,0.0,0.014530000000000001
3900,0.0,0.001,0.303,0.008620000000000001
3960,0.0,0.003,0.0,0.009989999999999999
4020,0.0,0.001,0.0,0.00823
4080,0.0,0.001,0.0,0.00802
