simulation_time,driving,break,on shift break,idle,charging,reposition
0,0,0,0,50,0,0
900,19,0,0,25,3,0
1800,20,0,0,15,13,0
2700,17,0,0,23,8,0
3600,18,0,0,20,11,0
4500,19,0,0,18,12,0
5400,24,0,0,16,9,0
6300,19,0,0,22,8,0
7200,24,0,0,11,12,0
8100,11,0,0,19,17,0
9000,11,0,0,24,13,0
9900,8,0,0,29,10,0
10800,10,0,0,34,6,0
11700,7,0,0,40,3,0
12600,3,0,0,45,2,0
13500,4,0,0,43,2,0
14400,5,0,0,40,4,0
15300,0,0,0,47,2,0
16200,2,0,0,47,1,0
17100,0,0,0,50,0,0
18000,0,0,0,50,0,0
18900,0,0,0,50,0,0
19800,0,0,0,50,0,0
20700,0,0,0,50,0,0
21600,2,0,0,48,0,0
22500,1,0,0,49,0,0
23400,1,0,0,48,0,0
24300,0,0,0,48,1,0
25200,2,0,0,48,0,0
26100,5,0,0,44,1,0
27000,3,0,0,46,1,0
27900,5,0,0,42,2,0
28800,0,0,0,50,0,0
29700,5,0,0,43,1,0
30600,5,0,0,43,2,0
31500,5,0,0,41,3,0
32400,7,0,0,39,3,0
33300,14,0,0,32,3,0
34200,20,0,0,29,1,0
35100,15,0,0,30,3,0
36000,16,0,0,30,3,0
36900,22,0,0,21,5,0
37800,28,0,0,10,8,0
38700,18,0,0,18,7,0
39600,31,0,0,10,6,0
40500,20,0,0,21,9,0
41400,16,0,0,21,12,0
42300,22,0,0,9,14,0
43200,15,0,0,15,17,0
44100,26,0,0,3,15,0
45000,21,0,0,3,19,0
45900,27,0,0,4,17,0
46800,24,0,0,9,11,0
47700,28,0,0,6,11,0
48600,26,0,0,9,10,0
49500,29,0,0,6,9,0
50400,26,0,0,7,12,0
51300,23,0,0,7,13,0
52200,23,0,0,10,14,0
53100,31,0,0,6,9,0
54000,23,0,0,7,15,0
54900,26,0,0,5,16,0
55800,27,0,0,2,13,0
56700,24,0,0,6,14,0
57600,30,0,0,5,9,0
58500,29,0,0,4,10,0
59400,24,0,0,9,12,0
60300,30,0,0,2,13,0
61200,27,0,0,7,13,0
62100,28,0,0,3,14,0
63000,27,0,0,4,12,0
63900,25,0,0,1,13,0
64800,22,0,0,5,16,0
65700,24,0,0,1,17,0
66600,27,0,0,1,20,0
67500,26,0,0,0,16,0
68400,26,0,0,0,16,0
69300,26,0,0,1,15,0
70200,32,0,0,1,9,0
71100,29,0,0,4,9,0
72000,31,0,0,5,8,0
72900,32,0,0,5,9,0
73800,25,0,0,11,11,0
74700,24,0,0,12,11,0
75600,27,0,0,6,12,0
76500,30,0,0,1,14,0
77400,20,0,0,9,17,0
78300,19,0,0,7,18,0
79200,24,0,0,5,18,0
80100,24,0,0,6,11,0
81000,30,0,0,7,8,0
81900,26,0,0,7,12,0
82800,26,0,0,8,14,0
83700,23,0,0,7,13,0
84600,27,0,0,4,13,0
85500,29,0,0,4,8,0
86400,27,0,0,3,14,0
87300,26,0,0,2,15,0
88200,23,0,0,9,17,0
89100,27,0,0,9,11,0
90000,19,0,0,17,10,0
90900,12,0,0,29,9,0
91800,11,0,0,26,9,0
92700,9,0,0,31,8,0
93600,13,0,0,30,5,0
94500,10,0,0,30,7,0
95400,8,0,0,37,5,0
96300,12,0,0,32,5,0
97200,7,0,0,39,4,0
98100,5,0,0,42,2,0
99000,4,0,0,42,4,0
99900,2,0,0,44,4,0
100800,1,0,0,47,1,0
101700,2,0,0,47,0,0
102600,1,0,0,48,0,0
103500,1,0,0,49,0,0
104400,0,0,0,50,0,0
105300,0,0,0,50,0,0
106200,0,0,0,50,0,0
107100,0,0,0,50,0,0
108000,0,0,0,50,0,0
108900,1,0,0,49,0,0
109800,0,0,0,50,0,0
110700,0,0,0,50,0,0
111600,1,0,0,49,0,0
112500,1,0,0,49,0,0
113400,3,0,0,46,1,0
114300,1,0,0,49,0,0
115200,3,0,0,44,3,0
116100,6,0,0,40,2,0
117000,4,0,0,45,0,0
117900,7,0,0,43,0,0
118800,4,0,0,43,3,0
119700,8,0,0,38,2,0
120600,5,0,0,42,2,0
121500,13,0,0,30,5,0
122400,5,0,0,38,6,0
123300,9,0,0,37,4,0
124200,12,0,0,32,4,0
125100,13,0,0,30,3,0
126000,22,0,0,21,5,0
126900,21,0,0,18,11,0
127800,23,0,0,15,10,0
128700,24,0,0,11,13,0
129600,19,0,0,14,14,0
130500,26,0,0,10,10,0
131400,23,0,0,9,14,0
132300,21,0,0,11,15,0
133200,24,0,0,10,12,0
134100,22,0,0,11,11,0
135000,27,0,0,5,10,0
135900,20,0,0,10,13,0
136800,28,0,0,6,14,0
137700,28,0,0,6,11,0
138600,23,0,0,6,15,0
139500,24,0,0,8,14,0
140400,24,0,0,8,13,0
141300,24,0,0,6,12,0
142200,27,0,0,5,15,0
143100,26,0,0,4,12,0
144000,22,0,0,12,12,0
144900,26,0,0,10,13,0
145800,25,0,0,7,15,0
146700,22,0,0,9,15,0
147600,29,0,0,6,8,0
148500,27,0,0,10,9,0
149400,36,0,0,7,7,0
150300,27,0,0,8,10,0
151200,22,0,0,6,18,0
152100,27,0,0,3,15,0
153000,27,0,0,5,12,0
153900,28,0,0,8,12,0
154800,25,0,0,11,12,0
155700,24,0,0,10,14,0
156600,22,0,0,10,15,0
157500,25,0,0,7,14,0
158400,30,0,0,5,12,0
159300,22,0,0,16,10,0
160200,21,0,0,14,6,0
161100,19,0,0,19,6,0
162000,28,0,0,9,10,0
162900,16,0,0,22,10,0
163800,23,0,0,10,14,0
164700,14,0,0,17,17,0
165600,19,0,0,13,17,0
166500,23,0,0,11,11,0
167400,11,0,0,31,8,0
168300,20,0,0,21,5,0
169200,15,0,0,25,10,0
170100,9,0,0,30,11,0
171000,5,0,0,38,7,0
171900,8,0,0,38,4,0
172800,7,0,0,40,2,0
173700,3,0,0,43,4,0
174600,3,0,0,45,2,0
175500,2,0,0,46,2,0
176400,2,0,0,47,1,0
177300,0,0,0,50,0,0
178200,0,0,0,50,0,0
179100,1,0,0,49,0,0
180000,0,0,0,50,0,0
180900,0,0,0,50,0,0
181800,0,0,0,49,0,0
182700,1,0,0,49,0,0
183600,0,0,0,50,0,0
184500,0,0,0,50,0,0
185400,0,0,0,50,0,0
186300,0,0,0,50,0,0
187200,0,0,0,50,0,0
188100,0,0,0,49,1,0
189000,0,0,0,49,1,0
189900,1,0,0,49,0,0
190800,1,0,0,49,0,0
191700,0,0,0,50,0,0
192600,0,0,0,49,0,0
193500,1,0,0,49,0,0
194400,0,0,0,49,0,0
195300,10,0,0,40,0,0
196200,12,0,0,34,2,0
197100,16,0,0,28,6,0
198000,17,0,0,28,5,0
198900,21,0,0,20,7,0
199800,26,0,0,13,8,0
200700,27,0,0,12,9,0
201600,27,0,0,8,10,0
202500,24,0,0,3,14,0
203400,31,0,0,1,13,0
204300,21,0,0,7,16,0
205200,31,0,0,1,11,0
206100,29,0,0,1,12,0
207000,26,0,0,6,11,0
207900,24,0,0,3,14,0
208800,28,0,0,2,17,0
209700,27,0,0,3,13,0
210600,32,0,0,5,12,0
211500,30,0,0,6,10,0
212400,26,0,0,5,15,0
213300,22,0,0,6,17,0
214200,22,0,0,3,17,0
215100,27,0,0,5,14,0
216000,32,0,0,3,11,0
216900,29,0,0,4,12,0
217800,23,0,0,6,16,0
218700,28,0,0,7,10,0
219600,29,0,0,7,8,0
220500,34,0,0,5,6,0
221400,30,0,0,9,7,0
222300,30,0,0,6,9,0
223200,29,0,0,9,8,0
224100,22,0,0,14,11,0
225000,20,0,0,7,17,0
225900,23,0,0,3,23,0
226800,22,0,0,2,24,0
227700,22,0,0,3,22,0
228600,33,0,0,1,13,0
229500,33,0,0,5,9,0
230400,26,0,0,5,11,0
231300,25,0,0,7,12,0
232200,26,0,0,5,11,0
233100,28,0,0,9,9,0
234000,26,0,0,9,9,0
234900,26,0,0,8,9,0
235800,29,0,0,5,10,0
236700,30,0,0,1,11,0
237600,25,0,0,2,15,0
238500,22,0,0,2,14,0
239400,27,0,0,1,12,0
240300,27,0,0,1,13,0
241200,28,0,0,0,17,0
242100,24,0,0,0,19,0
243000,20,0,0,1,20,0
243900,28,0,0,0,14,0
244800,27,0,0,0,17,0
245700,31,0,0,0,14,0
246600,31,0,0,0,12,0
247500,27,0,0,3,12,0
248400,26,0,0,0,13,0
249300,31,0,0,1,14,0
250200,24,0,0,2,13,0
251100,29,0,0,6,9,0
252000,22,0,0,9,9,0
252900,23,0,0,14,11,0
253800,24,0,0,14,8,0
254700,23,0,0,17,8,0
255600,22,0,0,22,6,0
256500,7,0,0,36,7,0
257400,1,0,0,43,6,0
258300,5,0,0,38,6,0
259200,5,0,0,39,6,0
260100,3,0,0,43,3,0
261000,4,0,0,43,2,0
261900,5,0,0,42,2,0
262800,4,0,0,42,4,0
263700,0,0,0,47,3,0
264600,1,0,0,49,0,0
265500,0,0,0,50,0,0
266400,2,0,0,47,0,0
267300,1,0,0,49,0,0
268200,0,0,0,50,0,0
269100,0,0,0,50,0,0
270000,1,0,0,49,0,0
270900,0,0,0,50,0,0
271800,1,0,0,49,0,0
272700,0,0,0,50,0,0
273600,0,0,0,50,0,0
274500,1,0,0,49,0,0
275400,0,0,0,50,0,0
276300,1,0,0,49,0,0
277200,0,0,0,50,0,0
278100,0,0,0,50,0,0
279000,0,0,0,50,0,0
279900,2,0,0,48,0,0
280800,4,0,0,46,0,0
281700,8,0,0,38,2,0
282600,10,0,0,35,3,0
283500,12,0,0,30,5,0
284400,19,0,0,20,7,0
285300,28,0,0,11,7,0
286200,28,0,0,8,10,0
287100,27,0,0,7,12,0
288000,25,0,0,3,19,0
288900,22,0,0,1,23,0
289800,28,0,0,2,18,0
290700,25,0,0,1,19,0
291600,30,0,0,0,12,0
292500,30,0,0,1,13,0
293400,28,0,0,1,15,0
294300,29,0,0,2,12,0
295200,29,0,0,1,11,0
296100,35,0,0,2,7,0
297000,35,0,0,2,7,0
297900,27,0,0,4,11,0
298800,31,0,0,6,9,0
299700,30,0,0,2,10,0
300600,28,0,0,5,11,0
301500,26,0,0,0,16,0
302400,22,0,0,3,22,0
303300,25,0,0,0,21,0
304200,21,0,0,1,18,0
305100,31,0,0,0,12,0
306000,29,0,0,0,15,0
306900,28,0,0,1,12,0
307800,32,0,0,0,8,0
308700,34,0,0,0,11,0
309600,32,0,0,1,9,0
310500,29,0,0,1,15,0
311400,26,0,0,0,18,0
312300,26,0,0,1,12,0
313200,29,0,0,1,11,0
314100,38,0,0,0,10,0
315000,32,0,0,0,13,0
315900,26,0,0,1,12,0
316800,25,0,0,1,10,0
317700,29,0,0,3,13,0
318600,25,0,0,4,16,0
319500,21,0,0,1,19,0
320400,21,0,0,2,18,0
321300,24,0,0,1,17,0
322200,23,0,0,0,17,0
323100,30,0,0,0,11,0
324000,25,0,0,2,15,0
324900,29,0,0,0,15,0
325800,29,0,0,0,15,0
326700,30,0,0,0,14,0
327600,29,0,0,0,7,0
328500,33,0,0,0,10,0
329400,31,0,0,1,7,0
330300,36,0,0,0,6,0
331200,28,0,0,0,12,0
332100,24,0,0,0,13,0
333000,28,0,0,0,15,0
