sim_time,reservation_time_trigger,charging_strategy,repositioning_strategy,user_requests
0,0.0,0.008,0.463,0.0358
60,0.0,0.003,0.0,0.01431
120,0.0,0.001,0.0,0.05437000000000001
180,0.0,0.004,0.0,0.034269999999999995
240,0.0,0.002,0.0,0.00677
300,0.0,0.002,0.612,0.023850000000000003
360,0.0,0.001,0.0,0.02278
420,0.0,0.003,0.0,0.022699999999999998
480,0.0,0.002,0.0,0.015359999999999999
540,0.0,0.002,0.0,0.02996
600,0.0,0.002,0.479,0.02597
660,0.0,0.007,0.0,0.03366
720,0.0,0.005,0.0,0.03529
780,0.0,0.002,0.0,0.00683
840,0.0,0.002,0.0,0.015609999999999999
900,0.0,0.002,0.463,0.0169
960,0.0,0.006,0.0,0.0199
1020,0.0,0.004,0.0,0.01996
1080,0.0,0.005,0.0,0.028130000000000002
1140,0.0,0.002,0.0,0.0093
1200,0.0,0.002,0.364,0.0155
1260,0.0,0.007,0.0,0.03131
1320,0.0,0.002,0.0,0.029249999999999998
1380,0.0,0.002,0.0,0.02452
1440,0.0,0.004,0.0,0.0
1500,0.0,0.004,0.747,0.062079999999999996
1560,0.0,0.002,0.0,0.01677
1620,0.0,0.012,0.0,0.03431
1680,0.0,0.005,0.0,0.03603
1740,0.0,0.002,0.0,0.020390000000000002
1800,0.0,0.005,0.714,0.02685
1860,0.0,0.002,0.0,0.03128
1920,0.0,0.009,0.0,0.027659999999999997
1980,0.0,0.006,0.0,0.01426
2040,0.0,0.012,0.0,0.02512
2100,0.0,0.002,0.536,0.03329
2160,0.0,0.004,0.0,0.036309999999999995
2220,0.0,0.002,0.0,0.02225
2280,0.0,0.005,0.0,0.0862
2340,0.0,0.002,0.0,0.02351
2400,0.0,0.001,0.492,0.02261
2460,0.0,0.002,0.0,0.01966
2520,0.0,0.002,0.0,0.01713
2580,0.0,0.009,0.0,0.01382
2640,0.0,0.002,0.0,0.020900000000000002
2700,0.0,0.002,0.395,0.0
2760,0.0,0.005,0.0,0.01193
2820,0.0,0.009,0.0,0.035059999999999994
2880,0.0,0.006,0.0,0.00809
2940,0.0,0.008,0.0,0.03592
3000,0.0,0.002,0.345,0.04978
3060,0.0,0.002,0.0,0.04421
3120,0.0,0.004,0.0,0.048490000000000005
3180,0.0,0.002,0.0,0.02785
3240,0.0,0.007,0.0,0.03662
3300,0.0,0.001,0.389,0.0035
3360,0.0,0.002,0.0,0.0072
3420,0.0,0.008,0.0,0.01594
3480,0.0,0.004,0.0,0.04923
3540,0.0,0.006,0.0,0.00807
3600,0.0,0.001,0.415,0.0
3660,0.0,0.002,0.0,0.025759999999999998
3720,0.0,0.002,0.0,0.01396
3780,0.0,0.002,0.0,0.03203
3840,0.0,0.011,0.0,0.036989999999999995
3900,0.0,0.005,0.348,0.04081
3960,0.0,0.007,0.0,0.025519999999999998
4020,0.0,0.002,0.0,0.02059
4080,0.0,0.002,0.0,0.02157
4140,0.0,0.002,0.0,0.02477
4200,0.0,0.002,0.37,0.01281
4260,0.0,0.002,0.0,0.02283
4320,0.0,0.002,0.0,0.01395
4380,0.0,0.002,0.0,0.01662
4440,0.0,0.002,0.0,0.01621
4500,0.0,0.004,0.316,0.020069999999999998
4560,0.0,0.001,0.0,0.00642
4620,0.0,0.002,0.0,0.02144
4680,0.0,0.002,0.0,0.043750000000000004
4740,0.0,0.009,0.0,0.029920000000000002
4800,0.0,0.009,0.433,0.010929999999999999
4860,0.0,0.002,0.0,0.01766
4920,0.0,0.002,0.0,0.01211
4980,0.0,0.001,0.0,0.01027
5040,0.0,0.001,0.0,0.00264
5100,0.0,0.008,0.303,0.030260000000000002
5160,0.0,0.002,0.0,0.02017
5220,0.0,0.002,0.0,0.04815
5280,0.0,0.002,0.0,0.04427
5340,0.0,0.002,0.0,0.0235
5400,0.0,0.004,0.323,0.03873
5460,0.0,0.005,0.0,0.04544999999999999
5520,0.0,0.003,0.0,0.08660000000000001
5580,0.0,0.005,0.0,0.035309999999999994
5640,0.0,0.007,0.0,0.02496
5700,0.0,0.009,0.439,0.04958
5760,0.0,0.004,0.0,0.02553
5820,0.0,0.002,0.0,0.019209999999999998
5880,0.0,0.002,0.0,0.039310000000000005
5940,0.0,0.009,0.0,0.012979999999999998
6000,0.0,0.005,0.313,0.019860000000000003
6060,0.0,0.001,0.0,0.00311
6120,0.0,0.002,0.0,0.00814
6180,0.0,0.001,0.0,0.017869999999999997
6240,0.0,0.004,0.0,0.01054
6300,0.0,0.005,0.8,0.022379999999999997
6360,0.0,0.005,0.0,0.03474
6420,0.0,0.002,0.0,0.028569999999999998
6480,0.0,0.002,0.0,0.023440000000000003
6540,0.0,0.007,0.0,0.041190000000000004
6600,0.0,0.002,0.386,0.02607
6660,0.0,0.005,0.0,0.01661
6720,0.0,0.002,0.0,0.0
6780,0.0,0.007,0.0,0.01815
6840,0.0,0.002,0.0,0.022400000000000003
6900,0.0,0.003,0.29,0.11289999999999999
6960,0.0,0.001,0.0,0.015189999999999999
7020,0.0,0.006,0.0,0.0
7080,0.0,0.002,0.0,0.04514
7140,0.0,0.006,0.0,0.04092
7200,0.0,0.002,0.426,0.055720000000000006
7260,0.0,0.004,0.0,0.02153
7320,0.0,0.005,0.0,0.00742
7380,0.0,0.003,0.0,0.00964
7440,0.0,0.002,0.0,0.01882
7500,0.0,0.004,0.411,0.0054
7560,0.0,0.001,0.0,0.00847
7620,0.0,0.015,0.0,0.014310000000000002
7680,0.0,0.002,0.0,0.00698
7740,0.0,0.004,0.0,0.0174
7800,0.0,0.002,0.355,0.00833
7860,0.0,0.002,0.0,0.00291
7920,0.0,0.009,0.0,0.00515
7980,0.0,0.009,0.0,0.01507
8040,0.0,0.003,0.0,0.0054
8100,0.0,0.007,0.312,0.00851
8160,0.0,0.002,0.0,0.00394
8220,0.0,0.001,0.0,0.00498
8280,0.0,0.002,0.0,0.01566
8340,0.0,0.001,0.0,0.00331
8400,0.0,0.004,0.341,0.009600000000000001
8460,0.0,0.001,0.0,0.00476
8520,0.0,0.005,0.0,0.00846
8580,0.0,0.005,0.0,0.01597
8640,0.0,0.003,0.0,0.00762
8700,0.0,0.001,0.328,0.00458
8760,0.0,0.001,0.0,0.013240000000000002
8820,0.0,0.011,0.0,0.015439999999999999
8880,0.0,0.002,0.0,0.00702
8940,0.0,0.002,0.0,0.00864
9000,0.0,0.003,0.435,0.024
9060,0.0,0.004,0.0,0.00926
9120,0.0,0.001,0.0,0.0
9180,0.0,0.002,0.0,0.00498
9240,0.0,0.002,0.0,0.0188
9300,0.0,0.001,0.329,0.00587
9360,0.0,0.001,0.0,0.007859999999999999
9420,0.0,0.004,0.0,0.016300000000000002
9480,0.0,0.008,0.0,0.02086
9540,0.0,0.001,0.0,0.00385
9600,0.0,0.001,0.359,0.0
9660,0.0,0.001,0.0,0.00819
9720,0.0,0.002,0.0,0.00947
9780,0.0,0.001,0.0,0.0
9840,0.0,0.001,0.0,0.02335
9900,0.0,0.008,0.325,0.00705
9960,0.0,0.005,0.0,0.01116
10020,0.0,0.002,0.0,0.021769999999999998
10080,0.0,0.002,0.0,0.00398
10140,0.0,0.002,0.0,0.01432
10200,0.0,0.002,0.344,0.00599
10260,0.0,0.001,0.0,0.00609
10320,0.0,0.005,0.0,0.01815
10380,0.0,0.006,0.0,0.00663
10440,0.0,0.004,0.0,0.01816
10500,0.0,0.002,0.392,0.02342
10560,0.0,0.001,0.0,0.00268
10620,0.0,0.001,0.0,0.02128
10680,0.0,0.001,0.0,0.0
10740,0.0,0.008,0.0,0.00745
10800,0.0,0.005,0.475,0.01938
10860,0.0,0.001,0.0,0.0
10920,0.0,0.002,0.0,0.01473
10980,0.0,0.001,0.0,0.00526
11040,0.0,0.001,0.0,0.0
11100,0.0,0.004,0.395,0.01295
11160,0.0,0.006,0.0,0.00591
11220,0.0,0.001,0.0,0.00443
11280,0.0,0.002,0.0,0.0
11340,0.0,0.001,0.0,0.0
11400,0.0,0.001,0.379,0.00654
11460,0.0,0.001,0.0,0.00312
11520,0.0,0.001,0.0,0.00523
11580,0.0,0.001,0.0,0.021699999999999997
11640,0.0,0.001,0.0,0.00444
11700,0.0,0.001,0.474,0.0
11760,0.0,0.001,0.0,0.00523
11820,0.0,0.002,0.0,0.0
11880,0.0,0.001,0.0,0.00752
11940,0.0,0.001,0.0,0.019090000000000003
12000,0.0,0.001,0.405,0.0
12060,0.0,0.001,0.0,0.00489
12120,0.0,0.004,0.0,0.00542
12180,0.0,0.002,0.0,0.0
12240,0.0,0.001,0.0,0.01313
12300,0.0,0.002,0.382,0.0
12360,0.0,0.01,0.0,0.0067
12420,0.0,0.002,0.0,0.0
12480,0.0,0.001,0.0,0.0
12540,0.0,0.001,0.0,0.00941
12600,0.0,0.001,0.393,0.0
12660,0.0,0.001,0.0,0.0
12720,0.0,0.008,0.0,0.01492
12780,0.0,0.006,0.0,0.02468
12840,0.0,0.001,0.0,0.0
12900,0.0,0.001,0.37,0.01638
12960,0.0,0.005,0.0,0.0
