operator_id,vehicle_id,vehicle_type,shift_type,status,start_time,finish_time,was_on_shift_break?,was_on_break?,rested_total,remaining_shift,selected_number_of_breaks,remaining_break,break_point,selected_break_duration,decreased_break,selected_bws_break_duration,decreased_bws,charge_and_rest_duration,decreased_from_planned_breaks
0,6,2019_fiat_500e_driver_vehtype,night_shift,idle,10.0,21.0,True,False,39600,,,,,,,39600,39600,,
0,9,2019_fiat_500e_driver_vehtype,night_shift,idle,10.0,21.0,True,False,39600,,,,,,,39600,39600,,
0,10,2019_fiat_500e_driver_vehtype,night_shift,idle,13.0,0.0,True,False,79200,,,,,,,39600,39600,,
0,13,2019_fiat_500e_driver_vehtype,night_shift,idle,12.0,23.0,True,False,39600,,,,,,,39600,39600,,
0,19,2019_fiat_500e_driver_vehtype,night_shift,idle,10.0,21.0,True,False,39600,,,,,,,39600,39600,,
0,25,2019_fiat_500e_driver_vehtype,night_shift,idle,12.0,23.0,True,False,39600,,,,,,,39600,39600,,
0,32,2019_fiat_500e_driver_vehtype,night_shift,idle,13.0,0.0,True,False,79200,,,,,,,39600,39600,,
0,39,2019_fiat_500e_driver_vehtype,night_shift,idle,11.0,22.0,True,False,39600,,,,,,,39600,39600,,
0,44,2019_fiat_500e_driver_vehtype,night_shift,idle,10.0,21.0,True,False,39600,,,,,,,39600,39600,,
0,54,2019_fiat_500e_driver_vehtype,night_shift,idle,9.0,20.0,True,False,39600,,,,,,,39600,39600,,
0,59,2019_fiat_500e_driver_vehtype,night_shift,idle,11.0,22.0,True,False,39600,,,,,,,39600,39600,,
0,60,2019_fiat_500e_driver_vehtype,night_shift,idle,12.0,23.0,True,False,39600,,,,,,,39600,39600,,
0,68,2019_nissan_leaf_sl_plus_driver_vehtype,night_shift,idle,13.0,0.0,True,False,79200,,,,,,,39600,39600,,
0,71,2019_nissan_leaf_sl_plus_driver_vehtype,night_shift,idle,12.0,23.0,True,False,39600,,,,,,,39600,39600,,
0,76,2019_nissan_leaf_sl_plus_driver_vehtype,night_shift,idle,10.0,21.0,True,False,39600,,,,,,,39600,39600,,
0,79,2019_nissan_leaf_sl_plus_driver_vehtype,night_shift,idle,11.0,22.0,True,False,39600,,,,,,,39600,39600,,
0,90,2019_nissan_leaf_sl_plus_driver_vehtype,night_shift,idle,10.0,21.0,True,False,39600,,,,,,,39600,39600,,
0,6,2019_fiat_500e_driver_vehtype,night_shift,waiting,,,False,False,39600.0,20302.29,4,3,540,,0,39600,0,1.1368683772161603e-13,1.1368683772161603e-13
0,48,2019_fiat_500e_driver_vehtype,night_shift,waiting,,,False,False,9.094947017729282e-13,27043.47,5,4,1140,,0,39600,0,9.094947017729282e-13,9.094947017729282e-13
0,44,2019_fiat_500e_driver_vehtype,night_shift,waiting,,,False,False,39600.0,23772.67,3,2,1200,,0,39600,0,2.2737367544323206e-13,2.2737367544323206e-13
0,48,2019_fiat_500e_driver_vehtype,night_shift,waiting,,,False,False,1.5916157281026244e-12,27043.47,5,4,1260,,0,39600,0,6.821210263296962e-13,6.821210263296962e-13
0,44,2019_fiat_500e_driver_vehtype,night_shift,waiting,,,False,False,39600.0,23772.67,3,2,1320,,0,39600,0,9.094947017729282e-13,9.094947017729282e-13
0,55,2019_fiat_500e_driver_vehtype,night_shift,waiting,,,False,False,34.83187017598084,29934.28,2,1,1380,,0,39600,0,34.83187017598084,34.83187017598084
0,6,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,40754.871870175986,20302.29,4,3,1680,,0,39600.0,0.0,1154.8718701759822,1154.8718701759822
0,32,2019_fiat_500e_driver_vehtype,night_shift,on_break,,,False,True,80868.0,29936.0,5,4,102,1668.0,1668,,,,
0,68,2019_nissan_leaf_sl_plus_driver_vehtype,night_shift,on_break,,,False,True,80486,34082,4,3,544,1286,1286,,,,
0,39,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,40887.332888380886,24598.42,5,3,1980,,0,39600,0,1287.3328883808827,1287.3328883808827
0,52,2019_fiat_500e_driver_vehtype,night_shift,on_break,,,False,True,1509,29671.0,5,4,581,1509,1509,,,,
0,45,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,1288.8404475425505,13924.47,2,1,2160,,0,39600.0,0.0,1288.8404475425505,1288.8404475425505
0,84,2019_nissan_leaf_sl_plus_driver_vehtype,night_shift,on_break,,,False,True,1395.0,19967.0,4,2,15198,1395.0,1395,,,,
0,11,2019_fiat_500e_driver_vehtype,night_shift,waiting,,,False,False,41.76781103283429,30041.14,1,1,2340,,0,39600,0,41.76781103283429,41.76781103283429
0,15,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,1314.8721887173567,21082.26,1,1,2400,,0,39600,0,1314.8721887173567,1314.8721887173567
