simulation_time,driving,break,on shift break,idle,charging,reposition
0,0,0,423,102,0,0
900,25,10,423,59,4,0
1800,20,16,423,51,13,0
2700,20,13,423,57,12,0
3600,21,12,400,81,10,0
4500,14,10,400,85,12,0
5400,21,8,400,85,8,0
6300,15,6,400,98,5,0
7200,23,8,381,101,10,0
8100,9,12,381,110,11,0
9000,12,14,381,106,9,0
9900,7,12,381,110,12,0
10800,12,17,348,146,2,0
11700,7,23,348,143,4,0
12600,4,30,348,140,3,0
13500,3,27,348,144,2,0
14400,6,23,348,148,0,0
15300,0,18,348,156,2,0
16200,2,21,349,152,1,0
17100,0,19,351,155,0,0
18000,0,19,352,154,0,0
18900,0,22,354,149,0,0
19800,0,17,357,151,0,0
20700,0,17,361,147,0,0
21600,2,18,333,172,0,0
22500,3,26,336,160,0,0
23400,1,31,338,152,2,0
24300,0,21,342,160,1,0
25200,1,22,309,192,1,0
26100,6,33,315,169,2,0
27000,2,44,322,151,6,0
27900,6,30,327,157,5,0
28800,3,26,305,190,1,0
29700,3,27,310,181,1,0
30600,6,24,317,177,1,0
31500,8,24,319,171,3,0
32400,5,30,289,192,7,0
33300,16,31,294,176,5,0
34200,21,19,296,181,6,0
35100,18,23,297,174,12,0
36000,18,32,278,183,13,0
36900,22,40,284,166,9,0
37800,25,31,289,167,8,0
38700,22,25,292,172,12,0
39600,39,27,268,180,7,0
40500,15,26,271,198,15,0
41400,17,29,276,192,10,0
42300,28,33,278,171,13,0
43200,13,36,250,206,16,0
44100,42,42,258,167,13,0
45000,38,33,261,177,11,0
45900,39,33,266,169,14,0
46800,34,39,273,158,19,0
47700,41,38,277,150,16,0
48600,48,30,281,141,21,0
49500,29,26,284,159,20,0
50400,33,34,288,145,23,0
51300,26,33,292,146,22,0
52200,31,26,296,147,19,0
53100,32,20,299,158,15,0
54000,33,24,303,147,15,0
54900,38,28,309,133,11,0
55800,44,25,310,130,13,0
56700,33,27,312,137,13,0
57600,36,29,316,126,15,0
58500,24,28,321,134,16,0
59400,31,24,325,127,15,0
60300,30,13,330,135,13,0
61200,42,18,343,108,11,0
62100,33,13,347,107,17,0
63000,42,15,353,87,25,0
63900,40,17,362,72,33,0
64800,51,17,372,48,31,0
65700,50,13,377,51,27,0
66600,47,6,384,57,24,0
