simulation_time,driving,break,on shift break,idle,charging,reposition
0,0,0,162,38,0,0
900,17,4,162,11,2,0
1800,19,4,162,6,9,0
2700,16,2,162,4,12,0
3600,18,2,157,8,9,0
4500,18,2,157,11,6,0
5400,19,2,157,14,6,0
6300,23,4,157,5,11,0
7200,16,1,149,13,19,0
8100,19,0,149,11,19,0
9000,24,2,149,5,18,0
9900,9,2,149,31,8,0
10800,14,3,133,40,5,0
11700,5,3,133,52,7,0
12600,5,5,133,53,4,0
13500,6,3,133,58,0,0
14400,5,3,133,57,2,0
15300,3,3,133,58,3,0
16200,4,3,133,58,1,0
17100,2,3,133,59,3,0
18000,1,6,133,59,1,0
18900,0,4,134,62,0,0
19800,0,2,135,63,0,0
20700,0,3,136,61,0,0
21600,0,5,118,77,0,0
22500,1,8,118,71,1,0
23400,2,5,118,73,1,0
24300,0,10,120,69,1,0
25200,1,13,112,73,1,0
26100,1,13,116,69,1,0
27000,2,14,118,65,1,0
27900,4,11,120,64,1,0
28800,3,10,111,76,0,0
29700,0,7,111,79,0,0
30600,5,10,116,64,3,0
31500,7,13,116,57,7,0
32400,8,12,104,69,7,0
33300,10,11,105,71,2,0
34200,10,10,109,66,2,0
35100,20,8,112,54,3,0
36000,15,14,109,53,6,0
36900,20,11,109,47,11,0
37800,17,8,109,53,10,0
38700,17,10,110,45,13,0
39600,23,5,102,58,7,0
40500,32,5,104,50,7,0
41400,23,9,105,46,13,0
42300,23,10,107,41,18,0
43200,29,10,101,33,21,0
44100,29,12,101,36,19,0
45000,30,10,103,41,11,0
45900,28,5,105,50,9,0
46800,36,12,107,33,10,0
47700,28,11,110,33,11,0
48600,34,13,112,23,10,0
49500,31,6,114,37,8,0
50400,43,6,117,20,9,0
51300,36,6,119,19,19,0
52200,25,3,123,25,19,0
53100,24,7,125,17,20,0
54000,27,5,125,15,23,0
54900,25,5,126,18,21,0
55800,35,3,128,11,20,0
56700,30,3,129,15,19,0
57600,31,4,130,15,15,0
58500,34,4,130,11,12,0
59400,34,2,132,20,11,0
60300,26,1,132,23,15,0
61200,37,0,132,12,17,0
62100,34,0,134,6,16,0
63000,28,0,136,8,23,0
63900,29,0,138,8,19,0
64800,32,0,142,6,16,0
65700,35,0,144,3,10,0
66600,36,0,147,4,10,0
67500,25,0,149,1,13,0
68400,27,0,150,1,13,0
69300,21,0,152,3,14,0
70200,16,0,158,0,14,0
71100,24,0,160,1,13,0
72000,23,0,155,6,10,0
72900,29,0,155,1,9,0
73800,20,1,158,2,14,0
74700,19,2,160,3,11,0
75600,20,0,156,8,9,0
76500,20,2,161,3,8,0
77400,20,2,162,3,8,0
78300,21,1,163,1,11,0
79200,18,2,158,5,12,0
80100,24,1,156,1,14,0
81000,22,2,156,0,13,0
81900,20,3,160,1,13,0
82800,21,1,157,5,10,0
83700,20,1,156,2,13,0
84600,18,2,159,1,11,0
85500,25,0,159,1,11,0
86400,30,0,145,11,7,0
87300,37,3,145,0,6,0
88200,23,6,146,3,16,0
89100,23,5,148,4,17,0
90000,27,1,138,18,14,0
90900,24,2,137,24,11,0
91800,13,2,137,36,11,0
92700,14,0,137,38,8,0
93600,13,1,128,50,6,0
94500,10,4,126,50,5,0
95400,4,3,126,59,6,0
96300,10,6,126,49,7,0
97200,11,5,117,60,7,0
98100,5,7,117,68,3,0
99000,9,4,117,69,1,0
99900,10,4,117,66,3,0
100800,4,5,117,69,4,0
101700,1,5,117,73,4,0
102600,3,6,117,72,1,0
103500,1,5,117,74,3,0
104400,1,4,117,77,1,0
105300,0,8,117,75,0,0
106200,1,4,117,78,0,0
107100,0,4,117,79,0,0
108000,0,8,105,87,0,0
108900,0,10,106,83,1,0
109800,0,12,107,80,1,0
110700,0,12,108,79,0,0
111600,0,20,90,90,0,0
112500,1,13,89,96,1,0
113400,7,12,90,90,1,0
114300,3,12,92,91,1,0
115200,4,13,86,95,2,0
116100,2,16,85,94,3,0
117000,1,23,87,87,2,0
117900,6,16,90,85,3,0
118800,8,12,66,110,3,0
119700,3,16,67,109,5,0
120600,6,16,74,99,5,0
121500,12,20,74,89,4,0
122400,9,17,70,98,4,0
123300,12,21,69,93,3,0
124200,15,22,72,84,3,0
125100,19,15,76,80,9,0
126000,27,12,66,81,12,0
126900,20,11,66,85,16,0
127800,24,15,68,77,13,0
128700,21,10,72,84,11,0
129600,24,11,67,87,7,0
130500,26,15,67,75,10,0
131400,23,9,69,91,5,0
132300,14,13,72,87,10,0
133200,26,18,74,70,9,0
134100,23,21,79,66,10,0
135000,16,19,79,75,11,0
135900,32,12,82,55,13,0
136800,21,14,84,59,16,0
137700,30,11,88,53,15,0
138600,41,18,89,35,13,0
139500,41,14,90,38,14,0
140400,43,10,91,37,14,0
141300,32,9,91,43,19,0
142200,30,6,92,52,17,0
143100,25,11,93,50,16,0
144000,28,12,93,46,14,0
144900,32,12,94,45,13,0
145800,28,8,96,55,10,0
146700,36,8,100,41,12,0
147600,26,4,100,57,8,0
148500,35,6,100,42,12,0
149400,34,4,104,37,18,0
150300,30,4,109,36,16,0
151200,22,5,112,40,14,0
152100,32,5,114,36,13,0
153000,45,3,122,16,11,0
153900,39,4,127,15,11,0
154800,24,3,128,27,13,0
155700,25,0,131,30,13,0
156600,27,0,134,17,17,0
157500,23,0,139,13,19,0
158400,21,0,135,18,17,0
159300,24,1,138,22,13,0
160200,11,1,143,26,16,0
161100,26,2,148,9,13,0
162000,20,2,135,26,13,0
162900,24,1,138,27,9,0
163800,22,2,142,18,15,0
164700,18,2,145,27,8,0
165600,20,2,141,29,7,0
166500,29,0,143,18,7,0
167400,8,4,144,34,9,0
168300,13,6,150,21,7,0
169200,18,3,140,28,10,0
170100,12,3,142,38,5,0
171000,6,5,143,38,5,0
171900,11,2,144,38,5,0
172800,5,4,136,48,5,0
173700,8,3,135,49,5,0
174600,1,6,136,55,1,0
175500,1,4,136,57,1,0
176400,2,6,129,62,1,0
177300,1,11,130,58,0,0
178200,0,11,130,59,0,0
179100,1,9,130,60,0,0
180000,0,8,121,71,0,0
180900,0,6,121,73,0,0
181800,1,7,121,71,0,0
182700,0,11,121,68,0,0
183600,0,15,113,72,0,0
184500,0,13,109,77,0,0
185400,0,12,109,79,0,0
186300,1,14,109,76,0,0
187200,0,9,109,82,0,0
188100,0,11,109,80,0,0
189000,0,11,109,80,0,0
189900,0,15,109,76,0,0
190800,0,18,109,73,0,0
191700,0,15,110,75,0,0
