sim_time,reservation_time_trigger,charging_strategy,repositioning_strategy,user_requests
0,0.0,0.005,0.679,0.04549
60,0.0,0.012,0.0,0.036710000000000007
120,0.0,0.007,0.0,0.05006
180,0.0,0.008,0.0,0.03096
240,0.0,0.001,0.0,0.00549
300,0.0,0.003,0.718,0.02386
360,0.0,0.003,0.0,0.01971
420,0.0,0.011,0.0,0.03275
480,0.0,0.001,0.0,0.01573
540,0.0,0.002,0.0,0.01875
600,0.0,0.002,0.607,0.024050000000000002
660,0.0,0.001,0.0,0.016190000000000003
720,0.0,0.002,0.0,0.048690000000000004
780,0.0,0.002,0.0,0.011120000000000001
840,0.0,0.002,0.0,0.01337
900,0.0,0.002,0.735,0.01803
960,0.0,0.006,0.0,0.02429
1020,0.0,0.001,0.0,0.01989
1080,0.0,0.012,0.0,0.02265
1140,0.0,0.002,0.0,0.00571
1200,0.0,0.002,0.416,0.016390000000000002
1260,0.0,0.006,0.0,0.01526
1320,0.0,0.009,0.0,0.017410000000000002
1380,0.0,0.004,0.0,0.02699
1440,0.0,0.003,0.0,0.0
1500,0.0,0.002,0.307,0.03752
1560,0.0,0.001,0.0,0.0107
1620,0.0,0.007,0.0,0.02101
1680,0.0,0.002,0.0,0.02818
1740,0.0,0.005,0.0,0.02095
1800,0.0,0.002,0.325,0.0202
1860,0.0,0.004,0.0,0.02028
1920,0.0,0.004,0.0,0.02121
1980,0.0,0.004,0.0,0.02176
2040,0.0,0.004,0.0,0.019160000000000003
2100,0.0,0.01,0.601,0.01972
2160,0.0,0.006,0.0,0.02052
2220,0.0,0.009,0.0,0.012289999999999999
2280,0.0,0.04,0.0,0.17794
2340,0.0,0.006,0.0,0.025959999999999997
2400,0.0,0.014,0.418,0.02418
2460,0.0,0.009,0.0,0.00798
2520,0.0,0.004,0.0,0.01089
2580,0.0,0.007,0.0,0.01013
2640,0.0,0.011,0.0,0.022690000000000002
2700,0.0,0.009,0.38,0.0
2760,0.0,0.014,0.0,0.00972
2820,0.0,0.004,0.0,0.0312
2880,0.0,0.012,0.0,0.00748
2940,0.0,0.009,0.0,0.03583
3000,0.0,0.004,0.315,0.02849
3060,0.0,0.009,0.0,0.048909999999999995
3120,0.0,0.002,0.0,0.05022
3180,0.0,0.002,0.0,0.02291
3240,0.0,0.014,0.0,0.03583
3300,0.0,0.005,0.338,0.01112
3360,0.0,0.002,0.0,0.00863
3420,0.0,0.002,0.0,0.01455
3480,0.0,0.012,0.0,0.03766
3540,0.0,0.008,0.0,0.01175
3600,0.0,0.002,0.413,0.0
3660,0.0,0.002,0.0,0.0213
3720,0.0,0.002,0.0,0.01748
3780,0.0,0.002,0.0,0.03462
3840,0.0,0.007,0.0,0.06922
3900,0.0,0.002,0.314,0.02527
3960,0.0,0.005,0.0,0.029930000000000002
4020,0.0,0.002,0.0,0.02246
4080,0.0,0.008,0.0,0.0187
4140,0.0,0.005,0.0,0.0202
4200,0.0,0.005,0.334,0.00568
4260,0.0,0.002,0.0,0.02599
4320,0.0,0.002,0.0,0.01465
4380,0.0,0.002,0.0,0.01117
4440,0.0,0.006,0.0,0.012719999999999999
4500,0.0,0.002,0.304,0.030949999999999995
4560,0.0,0.003,0.0,0.012410000000000001
4620,0.0,0.002,0.0,0.01963
4680,0.0,0.006,0.0,0.04226
4740,0.0,0.003,0.0,0.028909999999999998
4800,0.0,0.002,0.399,0.0143
4860,0.0,0.003,0.0,0.01515
4920,0.0,0.002,0.0,0.00712
4980,0.0,0.002,0.0,0.0245
5040,0.0,0.002,0.0,0.00518
5100,0.0,0.002,0.396,0.03653
5160,0.0,0.005,0.0,0.01951
5220,0.0,0.004,0.0,0.03167
5280,0.0,0.002,0.0,0.04289
5340,0.0,0.006,0.0,0.022039999999999997
5400,0.0,0.001,0.315,0.01444
5460,0.0,0.002,0.0,0.03289
5520,0.0,0.002,0.0,0.08152
5580,0.0,0.009,0.0,0.03257
5640,0.0,0.015,0.0,0.02966
5700,0.0,0.002,0.292,0.04127
5760,0.0,0.002,0.0,0.01884
5820,0.0,0.003,0.0,0.01294
5880,0.0,0.002,0.0,0.0336
5940,0.0,0.005,0.0,0.015629999999999998
6000,0.0,0.002,0.326,0.02382
6060,0.0,0.002,0.0,0.00608
6120,0.0,0.002,0.0,0.01351
6180,0.0,0.002,0.0,0.023870000000000002
6240,0.0,0.005,0.0,0.0111
6300,0.0,0.011,0.358,0.027360000000000002
6360,0.0,0.001,0.0,0.01822
6420,0.0,0.004,0.0,0.02254
6480,0.0,0.002,0.0,0.01484
6540,0.0,0.003,0.0,0.016370000000000003
6600,0.0,0.006,0.347,0.0324
6660,0.0,0.002,0.0,0.01942
6720,0.0,0.001,0.0,0.0
6780,0.0,0.002,0.0,0.025029999999999997
6840,0.0,0.005,0.0,0.02561
6900,0.0,0.01,0.347,0.02206
6960,0.0,0.001,0.0,0.013949999999999999
7020,0.0,0.001,0.0,0.0
7080,0.0,0.002,0.0,0.04155
7140,0.0,0.005,0.0,0.03357
7200,0.0,0.006,0.289,0.09168
7260,0.0,0.01,0.0,0.00782
7320,0.0,0.009,0.0,0.00673
7380,0.0,0.004,0.0,0.00469
7440,0.0,0.002,0.0,0.00945
7500,0.0,0.01,0.299,0.00454
7560,0.0,0.001,0.0,0.00292
7620,0.0,0.002,0.0,0.01821
7680,0.0,0.002,0.0,0.01688
7740,0.0,0.002,0.0,0.014960000000000001
7800,0.0,0.002,0.389,0.01638
