simulation_time,driving,break,on shift break,idle,charging,reposition
0,0,4,151,45,0,0
900,20,7,152,13,5,0
1800,19,9,153,9,9,0
2700,15,7,153,12,11,0
3600,19,3,152,12,11,0
4500,22,1,152,9,12,0
5400,23,0,152,11,12,0
6300,16,1,152,19,9,0
7200,22,2,150,14,8,0
8100,12,2,150,19,15,0
9000,12,4,151,21,12,0
9900,10,2,152,28,7,0
10800,9,1,147,33,7,0
11700,7,1,148,42,2,0
12600,3,1,148,47,1,0
13500,3,0,149,47,0,0
14400,5,0,143,48,2,0
15300,1,0,146,51,1,0
16200,2,0,146,51,1,0
17100,1,4,149,45,1,0
18000,0,6,152,41,1,0
18900,0,2,152,46,0,0
19800,0,1,152,47,0,0
20700,0,2,153,45,0,0
21600,2,3,144,51,0,0
22500,2,5,145,48,0,0
23400,2,7,146,45,0,0
24300,1,7,146,46,0,0
25200,2,11,141,46,0,0
26100,6,9,143,40,2,0
27000,3,7,145,42,3,0
27900,5,4,148,41,1,0
28800,0,5,142,53,0,0
29700,6,6,142,45,0,0
30600,5,8,142,43,2,0
31500,6,12,142,36,2,0
32400,5,10,132,48,3,0
33300,13,8,132,44,1,0
34200,20,8,132,35,5,0
35100,15,4,133,35,7,0
36000,15,2,123,53,5,0
36900,25,9,127,32,6,0
37800,24,8,128,26,10,0
38700,24,7,132,27,7,0
39600,34,4,125,19,13,0
40500,16,3,125,41,14,0
41400,15,3,125,44,13,0
42300,26,3,125,32,11,0
43200,16,7,123,34,17,0
44100,37,6,125,13,18,0
45000,33,6,125,12,19,0
45900,36,2,127,8,19,0
46800,32,5,121,23,13,0
47700,41,1,121,19,12,0
48600,40,3,123,12,13,0
49500,36,7,125,12,13,0
50400,32,5,117,25,20,0
51300,27,6,116,27,20,0
52200,32,6,118,18,20,0
53100,32,2,120,25,18,0
54000,29,3,118,28,17,0
54900,33,2,119,26,15,0
55800,43,3,120,11,19,0
56700,38,2,122,14,20,0
57600,37,2,124,16,16,0
58500,25,2,124,31,16,0
59400,33,2,124,24,14,0
60300,32,2,126,24,12,0
61200,33,2,122,28,11,0
62100,39,0,122,27,11,0
63000,36,2,122,18,19,0
63900,32,3,123,16,20,0
64800,39,1,124,8,23,0
65700,40,1,124,10,22,0
66600,33,2,125,4,29,0
67500,24,0,129,6,31,0
68400,35,0,127,8,23,0
69300,37,1,127,7,19,0
70200,36,1,128,10,15,0
71100,39,1,130,11,14,0
72000,39,0,130,13,13,0
72900,35,0,133,16,13,0
73800,30,2,135,21,11,0
74700,26,1,135,17,16,0
75600,35,1,135,13,12,0
76500,26,0,136,8,22,0
77400,28,0,137,13,20,0
78300,33,0,140,10,13,0
79200,28,0,135,20,14,0
80100,31,0,138,11,14,0
81000,26,2,140,8,20,0
81900,27,2,142,10,16,0
82800,31,2,138,11,12,0
83700,37,1,136,7,13,0
84600,38,1,136,9,13,0
85500,25,2,139,10,19,0
86400,29,3,136,6,18,0
87300,37,4,134,6,19,0
88200,24,0,136,20,18,0
89100,24,0,139,22,13,0
90000,22,2,134,23,15,0
90900,13,2,136,31,18,0
91800,11,1,136,41,9,0
92700,10,1,137,42,9,0
93600,13,1,132,47,5,0
94500,9,3,132,51,3,0
95400,7,3,135,49,4,0
96300,11,3,136,43,4,0
97200,7,2,125,59,7,0
98100,5,2,126,65,1,0
99000,3,4,128,64,1,0
99900,2,3,128,64,3,0
100800,1,5,122,69,2,0
101700,3,11,123,60,2,0
102600,1,9,124,64,2,0
103500,1,3,126,70,0,0
104400,0,4,128,68,0,0
105300,0,2,130,68,0,0
106200,0,5,132,63,0,0
107100,0,8,134,58,0,0
108000,0,6,127,67,0,0
108900,1,8,126,65,0,0
109800,0,7,127,65,1,0
110700,0,8,127,65,0,0
111600,1,10,123,66,0,0
112500,2,19,123,56,0,0
113400,3,12,123,61,1,0
114300,1,10,123,64,1,0
115200,3,9,119,67,2,0
116100,8,12,119,60,1,0
117000,6,13,119,59,3,0
117900,5,13,121,54,6,0
118800,4,11,113,68,4,0
119700,9,10,115,64,1,0
120600,5,3,116,72,3,0
121500,10,9,120,55,4,0
122400,4,14,116,62,2,0
123300,8,19,116,56,1,0
124200,13,13,116,51,4,0
125100,13,4,116,57,6,0
126000,20,5,112,51,10,0
126900,22,13,110,41,13,0
127800,22,11,112,38,11,0
128700,24,10,112,43,10,0
129600,19,10,108,49,10,0
130500,31,6,106,45,8,0
131400,27,6,107,39,16,0
132300,25,9,109,40,14,0
133200,30,8,99,47,13,0
134100,23,6,101,55,11,0
135000,39,7,103,35,10,0
135900,27,4,105,49,11,0
136800,30,6,98,50,13,0
137700,34,12,101,35,13,0
138600,38,10,101,32,13,0
139500,36,9,102,36,14,0
140400,25,7,90,61,15,0
141300,33,4,89,53,17,0
142200,34,9,90,48,16,0
143100,27,9,91,51,16,0
144000,18,9,91,62,14,0
144900,29,9,93,54,14,0
145800,19,8,94,64,11,0
146700,30,4,96,54,14,0
147600,38,9,94,41,14,0
148500,30,10,98,46,14,0
149400,39,6,102,34,16,0
150300,26,5,105,42,20,0
151200,27,7,97,46,17,0
152100,36,7,98,39,16,0
153000,30,6,100,45,17,0
153900,20,6,101,55,14,0
154800,18,11,101,51,16,0
155700,23,9,101,45,18,0
156600,21,5,103,54,11,0
157500,31,1,104,49,12,0
158400,36,4,101,44,12,0
159300,15,2,102,63,15,0
160200,21,5,104,53,13,0
161100,21,5,106,53,11,0
162000,26,3,101,58,8,0
162900,11,4,102,74,5,0
163800,25,5,104,56,8,0
164700,19,7,107,57,6,0
165600,13,4,102,70,8,0
166500,17,2,103,66,7,0
