sim_time,zone_id,horizon_start,horizon_end,number_idle,incoming,incoming_repo,tot_fc_demand,tot_fc_supply
0,262,0,900,2,2,0,1.0,
0,137,0,900,0,0,0,1.0,
0,140,0,900,0,0,0,2.0,
0,141,0,900,1,1,0,1.0,
0,142,0,900,1,1,0,1.0,
0,143,0,900,2,2,0,1.0,
0,144,0,900,2,2,0,0.0,
0,148,0,900,1,1,0,2.0,
0,151,0,900,1,1,0,0.0,
0,158,0,900,1,1,0,1.0,
0,161,0,900,2,2,0,1.0,
0,162,0,900,1,1,0,4.0,
0,163,0,900,0,0,0,1.0,
0,164,0,900,1,1,0,2.0,
0,170,0,900,2,2,0,3.0,
0,48,0,900,1,1,0,1.0,
0,186,0,900,0,0,0,1.0,
0,68,0,900,2,2,0,2.0,
0,79,0,900,4,4,0,6.0,
0,209,0,900,2,2,0,1.0,
0,211,0,900,2,2,0,0.0,
0,87,0,900,0,0,0,1.0,
0,88,0,900,0,0,0,0.0,
0,100,0,900,1,1,0,1.0,
0,230,0,900,1,1,0,1.0,
0,231,0,900,5,5,0,1.0,
0,233,0,900,2,2,0,0.0,
0,234,0,900,3,3,0,6.0,
0,107,0,900,1,1,0,1.0,
0,236,0,900,2,2,0,1.0,
0,237,0,900,3,3,0,3.0,
0,238,0,900,5,5,0,1.0,
0,239,0,900,1,6,0,0.0,
0,114,0,900,0,0,0,0.0,
0,246,0,900,2,2,0,1.0,
0,249,0,900,5,5,0,0.0,
0,4,0,900,0,1,0,,
0,12,0,900,0,0,0,,
0,13,0,900,0,0,0,,
0,24,0,900,0,0,0,,
0,41,0,900,1,1,0,,
0,42,0,900,4,4,0,,
0,43,0,900,0,0,0,,
0,45,0,900,5,5,0,,
0,50,0,900,2,2,0,,
0,74,0,900,1,1,0,,
0,75,0,900,1,1,0,,
0,90,0,900,2,2,0,,
0,113,0,900,1,1,0,,
0,116,0,900,2,2,0,,
0,120,0,900,2,2,0,,
0,125,0,900,1,1,0,,
0,127,0,900,3,3,0,,
0,128,0,900,0,0,0,,
0,152,0,900,0,0,0,,
0,153,0,900,0,0,0,,
0,166,0,900,2,2,0,,
0,194,0,900,0,0,0,,
0,224,0,900,0,0,0,,
0,229,0,900,0,0,0,,
0,232,0,900,1,1,0,,
0,243,0,900,4,4,0,,
0,244,0,900,3,3,0,,
0,261,0,900,1,1,0,,
0,263,0,900,0,0,0,,
300,262,300,1200,2,2,0,1.0,
300,137,300,1200,0,0,0,1.0,
300,140,300,1200,0,0,0,2.0,
300,141,300,1200,0,0,0,1.0,
300,142,300,1200,2,2,0,1.0,
300,143,300,1200,1,1,0,1.0,
300,144,300,1200,1,1,0,0.0,
300,148,300,1200,1,1,0,2.0,
300,151,300,1200,1,1,0,0.0,
300,158,300,1200,1,1,0,1.0,
300,161,300,1200,1,1,0,1.0,
300,162,300,1200,0,0,0,4.0,
300,163,300,1200,0,0,0,1.0,
300,164,300,1200,0,0,0,2.0,
300,170,300,1200,2,2,0,3.0,
300,48,300,1200,2,2,0,1.0,
300,186,300,1200,0,0,0,1.0,
300,68,300,1200,1,1,0,2.0,
300,79,300,1200,0,1,0,6.0,
300,209,300,1200,2,2,0,1.0,
300,211,300,1200,2,2,0,0.0,
300,87,300,1200,1,4,0,1.0,
300,88,300,1200,0,2,0,0.0,
300,100,300,1200,0,0,0,1.0,
