operator_id,vehicle_id,vehicle_type,shift_type,start_time,finish_time,on_which_day,worked_total,selected_shift_time,worked_today,total_overtime,overtime_today,expected_overtime,rested_total,selected_rest_time,selected_number_of_breaks,number_of_taken_breaks,satisfied_passengers
0,383,2022_bmw_i4_m50_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.053055555555556,0.06666666666666667,2,66044.0,28800,28800.0,0.0,0,0,39600,2700,1,1,0
0,233,2019_nissan_leaf_sl_plus_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.086111111111112,0.1,2,65078.0,28800,28800.0,0.0,0,0,39600,5613,4,4,0
0,271,2019_nissan_leaf_sl_plus_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.08361111111111,0.1,2,66527.0,28800,28800.0,0.0,0,0,39600,2862,2,2,0
0,221,2019_nissan_leaf_sl_plus_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.12,0.13333333333333333,2,70240.0,28800,28800.0,0.0,0,0,39600,2700,1,1,0
0,388,2022_bmw_i4_m50_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.154166666666665,0.16666666666666666,2,59186.0,28800,28800.0,0.0,0,0,39600,3259,2,2,0
0,215,2019_nissan_leaf_sl_plus_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.190555555555555,0.2,1,28800.0,28800,28800.0,0.0,0,0,0,3244,2,2,0
0,207,2019_nissan_leaf_sl_plus_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.302222222222223,0.31666666666666665,1,28800.0,28800,28800.0,0.0,0,0,0,4352,3,3,0
0,205,2019_nissan_leaf_sl_plus_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.354444444444443,0.36666666666666664,2,63409.0,28800,28800.0,0.0,0,0,39600,3230,2,2,0
0,319,2022_bmw_i4_m50_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.474444444444444,0.48333333333333334,2,58396.0,28800,28800.0,0.0,0,0,39600,2700,1,1,0
0,254,2019_nissan_leaf_sl_plus_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.58361111111111,0.6,2,64105.0,28800,28800.0,0.0,0,0,39600,2700,1,1,0
0,330,2022_bmw_i4_m50_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.60972222222222,0.6166666666666667,2,58067.0,28800,28800.0,0.0,0,0,39600,4458,3,3,0
0,244,2019_nissan_leaf_sl_plus_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.625,0.6333333333333333,1,28800.0,28800,28800.0,0.0,0,0,0,2700,1,1,0
0,280,2019_nissan_leaf_sl_plus_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.621944444444445,0.6333333333333333,1,28800.0,28800,28800.0,0.0,0,0,0,7020,5,5,0
0,218,2019_nissan_leaf_sl_plus_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.65861111111111,0.6666666666666666,1,28800.0,28800,28800.0,0.0,0,0,0,3349,2,2,2
0,299,2022_bmw_i4_m50_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.676666666666666,0.6833333333333333,1,28800.0,28800,28800.0,0.0,0,0,0,7453,5,5,3
0,230,2019_nissan_leaf_sl_plus_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.998055555555556,1.0,2,63415.0,28800,28800.0,0.0,0,0,39600,7436,5,5,0
0,387,2022_bmw_i4_m50_driver_vehtype,DRIVER_SHIFTS.DAY_SHIFT,16.671388888888888,1.1666666666666667,1,28800.0,28800,28800.0,0.0,0,0,1780,3147,2,2,0
0,113,2019_fiat_500e_driver_vehtype,DRIVER_SHIFTS.NIGHT_SHIFT,17.0,1.3666666666666667,2,63078.0,28802,28802.0,0.0,0,0,40904,4647,3,3,3
0,96,2019_fiat_500e_driver_vehtype,DRIVER_SHIFTS.NIGHT_SHIFT,17.0,1.4666666666666666,1,30477.0,30477,30477.0,0.0,0,0,0,2700,1,1,2
