simulation_time,driving,break,on shift break,idle,charging,reposition
0,0,7,316,102,0,0
900,22,14,322,58,4,0
1800,20,20,325,41,14,0
2700,17,14,330,45,16,0
3600,22,9,323,58,12,0
4500,15,4,324,61,18,0
5400,25,4,326,55,12,0
6300,16,5,328,65,8,0
7200,22,6,319,62,11,0
8100,8,12,322,72,9,0
9000,12,9,323,75,4,0
9900,9,6,325,76,7,0
10800,9,8,318,85,4,0
11700,7,10,320,86,2,0
12600,4,13,321,85,2,0
13500,3,11,324,82,4,0
14400,5,9,308,101,2,0
15300,1,12,312,97,2,0
16200,2,13,313,96,1,0
17100,1,16,316,92,0,0
18000,0,11,318,95,1,0
18900,0,12,322,91,0,0
19800,0,9,324,92,0,0
20700,0,8,326,91,0,0
21600,2,16,313,94,0,0
22500,1,14,315,95,0,0
23400,2,10,319,92,2,0
24300,1,11,322,90,1,0
25200,1,15,309,100,0,0
26100,5,9,311,99,1,0
27000,2,9,315,97,2,0
27900,5,15,318,85,1,0
28800,0,18,300,107,0,0
29700,5,19,302,98,0,0
30600,6,21,303,93,2,0
31500,4,22,304,88,6,0
32400,7,24,295,94,4,0
33300,18,16,295,89,7,0
34200,20,9,297,87,10,0
35100,15,10,298,85,13,0
36000,16,11,279,106,12,0
36900,20,21,280,92,8,0
37800,25,24,283,78,8,0
38700,23,13,285,96,6,0
39600,37,20,272,85,8,0
40500,18,21,274,97,15,0
41400,19,15,276,102,12,0
42300,27,17,279,91,9,0
43200,13,23,255,119,12,0
44100,47,22,257,88,6,0
45000,43,18,258,91,12,0
45900,37,17,258,85,25,0
46800,32,23,247,97,24,0
47700,35,29,249,91,15,0
48600,43,20,252,87,15,0
49500,37,18,254,93,17,0
50400,35,25,239,105,17,0
51300,23,32,242,104,21,0
52200,31,25,245,102,16,0
53100,32,18,248,112,13,0
54000,31,16,240,119,16,0
54900,35,19,245,105,17,0
55800,49,18,250,85,17,0
56700,39,13,252,93,26,0
57600,40,15,255,89,24,0
