operator_id,vehicle_id,vehicle_type,shift_type,status,start_time,finish_time,was_on_shift_break?,was_on_break?,rested_total,remaining_shift,selected_number_of_breaks,remaining_break,break_point,selected_break_duration,decreased_break,selected_bws_break_duration,decreased_bws,charge_and_rest_duration,decreased_from_planned_breaks
0,6,2019_fiat_500e_driver_vehtype_HT,night_shift,idle,10.0,21.0,True,False,39600,,,,,,,39600,39600,,
0,9,2019_fiat_500e_driver_vehtype_HT,night_shift,idle,10.0,21.0,True,False,39600,,,,,,,39600,39600,,
0,10,2019_fiat_500e_driver_vehtype_HT,night_shift,idle,13.0,0.0,True,False,79200,,,,,,,39600,39600,,
0,13,2019_fiat_500e_driver_vehtype_HT,night_shift,idle,12.0,23.0,True,False,39600,,,,,,,39600,39600,,
0,19,2019_fiat_500e_driver_vehtype_HT,night_shift,idle,10.0,21.0,True,False,39600,,,,,,,39600,39600,,
0,25,2019_fiat_500e_driver_vehtype_HT,night_shift,idle,12.0,23.0,True,False,39600,,,,,,,39600,39600,,
0,32,2019_fiat_500e_driver_vehtype_HT,night_shift,idle,13.0,0.0,True,False,79200,,,,,,,39600,39600,,
0,39,2019_nissan_leaf_sl_plus_driver_vehtype_HT,night_shift,idle,11.0,22.0,True,False,39600,,,,,,,39600,39600,,
0,44,2019_nissan_leaf_sl_plus_driver_vehtype_HT,night_shift,idle,10.0,21.0,True,False,39600,,,,,,,39600,39600,,
0,6,2019_fiat_500e_driver_vehtype_HT,night_shift,waiting,,,False,False,39600.0,20018.6,4,3,780,,0,39600,0,2.2737367544323206e-13,2.2737367544323206e-13
0,39,2019_nissan_leaf_sl_plus_driver_vehtype_HT,night_shift,waiting,,,False,False,39600.0,23900.57,5,3,1260,,0,39600,0,4.547473508864641e-13,4.547473508864641e-13
0,32,2019_fiat_500e_driver_vehtype_HT,night_shift,on_break,,,False,True,80868,29936.0,5,4,102,1668,1668,,,,
0,45,2019_nissan_leaf_sl_plus_driver_vehtype_HT,night_shift,waiting,,,False,False,19.777256849648893,12762.26,2,1,1920,,0,39600,0,19.777256849648893,19.777256849648893
0,6,2019_fiat_500e_driver_vehtype_HT,night_shift,charging,,,False,False,40802.36291017598,20018.6,4,3,2040,,0,39600,0,1202.362910175982,1202.362910175982
