simulation_time,driving,break,on shift break,idle,charging,reposition
0,0,0,80,120,0,0
900,17,1,80,93,4,0
1800,21,0,80,86,11,0
2700,31,0,80,64,19,0
3600,20,2,77,81,17,0
4500,24,4,77,84,11,0
5400,15,2,77,98,7,0
6300,26,0,77,87,6,0
7200,18,1,72,97,10,0
8100,15,2,72,96,11,0
9000,25,3,72,87,10,0
9900,9,2,72,107,10,0
10800,18,2,66,109,4,0
11700,3,2,66,121,8,0
12600,7,1,66,119,7,0
13500,6,2,66,118,7,0
14400,5,2,66,120,6,0
15300,2,0,66,127,5,0
16200,4,1,66,127,1,0
17100,2,1,66,129,2,0
18000,1,1,67,131,0,0
18900,0,0,67,133,0,0
19800,0,2,67,131,0,0
20700,0,5,67,128,0,0
21600,0,5,61,134,0,0
22500,2,3,61,133,1,0
23400,2,2,61,132,2,0
24300,0,6,63,130,1,0
25200,1,6,52,139,2,0
26100,1,4,55,138,2,0
27000,2,6,56,135,1,0
27900,3,5,57,133,1,0
28800,3,7,52,138,0,0
29700,1,6,54,136,2,0
30600,5,5,55,132,2,0
31500,6,3,55,135,1,0
32400,8,8,52,127,4,0
33300,6,5,52,126,6,0
34200,10,3,53,127,5,0
35100,22,8,54,110,3,0
36000,17,4,53,118,8,0
36900,20,4,53,112,7,0
37800,17,6,53,111,10,0
38700,17,7,53,108,11,0
39600,25,6,49,104,13,0
40500,30,5,51,95,16,0
41400,20,5,53,105,13,0
42300,21,2,53,111,11,0
43200,30,2,51,103,10,0
44100,30,4,51,100,11,0
45000,29,4,51,96,14,0
45900,30,3,52,91,21,0
46800,31,3,52,84,25,0
47700,30,4,55,85,21,0
48600,33,0,56,80,20,0
49500,33,1,57,87,18,0
50400,35,2,58,86,15,0
51300,33,4,58,88,10,0
52200,26,1,59,101,9,0
53100,26,0,59,96,14,0
54000,27,1,59,96,13,0
54900,29,3,61,95,8,0
55800,29,2,61,95,10,0
56700,31,0,62,93,9,0
57600,35,0,62,85,13,0
58500,37,1,62,76,17,0
59400,29,2,63,78,26,0
60300,28,0,63,88,20,0
61200,42,0,63,69,21,0
62100,37,0,64,71,20,0
63000,36,0,63,78,21,0
63900,40,1,64,69,22,0
64800,34,0,65,73,24,0
65700,59,0,67,39,25,0
66600,48,0,71,59,19,0
67500,50,0,72,54,20,0
68400,52,0,73,46,23,0
69300,45,0,76,49,20,0
70200,59,0,79,35,20,0
71100,38,0,81,52,25,0
72000,38,0,77,63,18,0
72900,28,0,77,75,20,0
73800,22,0,78,78,16,0
74700,36,1,79,69,11,0
75600,35,2,83,65,12,0
76500,35,1,83,63,15,0
77400,34,2,84,59,14,0
78300,30,0,85,62,21,0
79200,33,0,82,59,20,0
80100,40,2,82,56,18,0
81000,36,2,82,59,14,0
81900,37,1,83,63,15,0
82800,47,1,82,52,15,0
83700,38,1,81,56,20,0
84600,37,1,81,48,29,0
85500,49,2,81,31,27,0
86400,51,1,75,42,25,0
87300,32,1,76,64,24,0
88200,13,1,77,93,16,0
89100,15,0,77,90,15,0
90000,19,1,68,101,9,0
90900,16,4,67,110,3,0
91800,10,3,68,114,5,0
92700,11,3,68,107,9,0
93600,11,2,66,107,10,0
94500,10,2,65,108,13,0
95400,5,1,65,120,9,0
96300,12,2,65,117,4,0
97200,10,2,60,124,4,0
98100,4,4,59,129,3,0
99000,8,0,59,131,1,0
99900,9,0,59,129,2,0
100800,2,0,59,133,5,0
101700,1,3,59,135,2,0
102600,3,3,59,133,1,0
103500,1,4,59,136,0,0
104400,1,7,59,133,0,0
105300,1,6,59,134,0,0
106200,1,4,59,135,1,0
107100,0,6,59,135,0,0
108000,0,3,56,141,0,0
108900,0,4,55,141,0,0
109800,0,9,55,136,0,0
110700,1,9,56,134,0,0
111600,0,2,52,146,0,0
112500,1,4,52,143,0,0
113400,6,6,54,133,0,0
114300,3,3,57,137,0,0
115200,3,4,52,139,1,0
116100,2,6,53,137,2,0
117000,2,8,54,135,1,0
117900,7,8,56,126,3,0
118800,8,5,52,131,4,0
119700,4,4,51,140,1,0
120600,6,5,52,136,1,0
121500,10,4,54,124,5,0
122400,10,5,42,136,6,0
123300,14,7,42,131,4,0
124200,11,8,42,129,6,0
125100,18,5,42,123,10,0
126000,21,5,34,133,7,0
126900,20,4,33,139,3,0
127800,21,8,35,130,5,0
128700,19,5,38,126,10,0
129600,24,3,34,128,6,0
130500,25,7,34,118,9,0
131400,24,11,37,115,10,0
132300,17,7,38,117,16,0
133200,31,7,42,105,13,0
134100,20,5,43,112,16,0
135000,17,2,43,120,16,0
135900,33,7,44,103,10,0
136800,20,9,45,111,11,0
137700,31,6,45,105,9,0
138600,38,6,46,97,9,0
139500,39,2,46,97,14,0
140400,42,2,47,91,13,0
141300,35,2,48,94,15,0
142200,26,4,48,102,14,0
143100,25,7,48,99,14,0
144000,26,5,48,94,19,0
144900,30,6,49,94,14,0
145800,32,4,49,96,14,0
146700,33,1,51,97,13,0
147600,31,2,51,103,11,0
148500,35,3,51,99,8,0
149400,31,4,51,100,10,0
150300,30,2,51,105,8,0
151200,23,1,52,108,10,0
152100,31,1,53,98,15,0
153000,49,2,53,78,14,0
153900,33,0,55,86,20,0
154800,29,1,55,90,23,0
155700,24,1,56,97,22,0
156600,30,1,59,90,19,0
157500,23,1,59,94,21,0
158400,20,0,55,101,17,0
159300,21,1,56,106,13,0
160200,14,0,59,111,14,0
161100,29,0,65,87,15,0
162000,21,1,60,102,15,0
162900,17,2,62,106,11,0
163800,19,2,66,101,10,0
164700,15,2,67,105,9,0
165600,21,1,65,102,8,0
166500,34,1,69,84,10,0
167400,10,2,71,99,15,0
168300,11,2,73,101,11,0
169200,10,2,64,116,4,0
170100,10,5,68,111,4,0
171000,7,5,69,112,6,0
171900,6,1,70,119,2,0
172800,6,1,66,124,2,0
173700,7,3,66,121,3,0
174600,1,2,68,127,1,0
175500,1,4,68,125,1,0
176400,2,2,62,134,0,0
177300,1,2,62,135,0,0
178200,0,3,62,135,0,0
179100,1,5,62,132,0,0
180000,0,3,61,136,0,0
180900,0,2,61,137,0,0
181800,1,3,61,135,0,0
182700,0,3,61,136,0,0
183600,0,5,55,140,0,0
184500,0,4,54,142,0,0
185400,0,1,54,145,0,0
186300,0,7,54,138,0,0
187200,0,8,54,138,0,0
188100,0,8,54,138,0,0
189000,0,10,54,136,0,0
189900,0,7,54,139,0,0
190800,0,12,54,134,0,0
191700,0,6,54,140,0,0
192600,0,5,54,141,0,0
193500,0,5,54,141,0,0
194400,1,3,45,151,0,0
195300,4,3,46,143,2,0
196200,14,4,47,132,3,0
197100,20,5,50,122,1,0
198000,16,8,46,128,2,0
198900,19,15,47,113,6,0
199800,19,11,48,109,10,0
200700,31,7,48,99,12,0
201600,20,4,44,118,14,0
202500,38,3,44,97,15,0
203400,35,2,45,91,24,0
204300,38,0,47,90,22,0
205200,41,1,39,106,11,0
206100,32,6,39,100,17,0
207000,27,4,40,111,15,0
207900,33,5,45,100,13,0
208800,35,6,39,101,13,0
209700,39,2,42,105,10,0
210600,24,1,43,113,15,0
211500,44,2,44,86,18,0
212400,32,2,36,106,22,0
213300,34,6,36,104,17,0
214200,17,3,38,118,19,0
215100,31,4,38,111,12,0
216000,29,4,38,115,10,0
216900,36,6,42,99,11,0
217800,27,4,43,113,8,0
218700,23,6,43,116,7,0
219600,37,6,43,103,9,0
220500,21,3,43,115,14,0
221400,32,2,44,106,13,0
222300,24,3,48,106,13,0
223200,31,3,47,100,12,0
224100,29,2,50,104,12,0
225000,34,2,51,93,14,0
225900,26,2,53,100,16,0
226800,37,2,52,87,20,0
227700,32,2,54,80,22,0
228600,39,2,56,79,22,0
229500,36,2,56,77,26,0
230400,41,0,56,75,25,0
231300,25,1,57,89,25,0
232200,36,0,58,80,21,0
233100,31,0,61,82,23,0
234000,43,0,61,69,21,0
234900,44,1,62,68,21,0
235800,50,0,63,65,16,0
236700,56,0,63,60,15,0
237600,45,0,65,65,19,0
238500,54,0,66,60,12,0
239400,40,0,67,69,17,0
240300,51,0,70,52,16,0
241200,52,0,71,43,21,0
242100,41,0,72,55,21,0
243000,53,0,76,46,23,0
243900,57,0,79,39,20,0
244800,35,0,73,62,23,0
245700,46,0,72,54,23,0
246600,50,0,74,40,27,0
247500,29,2,75,63,23,0
248400,35,1,74,59,29,0
249300,50,2,72,45,27,0
250200,37,1,75,57,23,0
251100,40,0,75,63,16,0
252000,34,0,74,72,16,0
252900,26,0,74,79,17,0
253800,25,2,75,79,16,0
254700,21,2,77,85,10,0
255600,15,0,74,97,14,0
256500,8,1,76,108,6,0
257400,11,2,76,104,5,0
258300,10,1,78,105,3,0
259200,8,0,71,116,3,0
260100,4,1,71,120,3,0
261000,6,2,72,114,5,0
261900,2,2,73,118,5,0
262800,2,3,70,119,5,0
263700,1,6,69,123,1,0
264600,0,3,70,125,2,0
265500,1,3,70,125,1,0
266400,1,0,65,133,1,0
267300,0,4,64,131,1,0
268200,2,2,64,132,0,0
269100,0,1,65,134,0,0
270000,0,5,61,134,0,0
270900,0,7,58,135,0,0
271800,0,4,58,138,0,0
272700,0,6,58,136,0,0
273600,0,4,59,137,0,0
274500,0,2,59,139,0,0
275400,0,4,61,135,0,0
276300,0,4,61,135,0,0
277200,1,3,62,134,0,0
