sim_time,reservation_time_trigger,charging_strategy,repositioning_strategy,user_requests
0,0.0,0.004,0.281,0.014159999999999999
60,0.0,0.002,0.0,0.01182
120,0.0,0.002,0.0,0.014060000000000001
180,0.0,0.001,0.0,0.010190000000000001
240,0.0,0.001,0.0,0.00225
300,0.0,0.001,0.327,0.012580000000000001
360,0.0,0.002,0.0,0.004319999999999999
420,0.0,0.001,0.0,0.008409999999999999
480,0.0,0.002,0.0,0.006329999999999999
540,0.0,0.001,0.0,0.00647
600,0.0,0.001,0.289,0.00848
660,0.0,0.001,0.0,0.013040000000000003
720,0.0,0.002,0.0,0.01554
780,0.0,0.001,0.0,0.00485
840,0.0,0.001,0.0,0.00684
900,0.0,0.004,0.361,0.01285
960,0.0,0.002,0.0,0.00748
1020,0.0,0.001,0.0,0.00835
1080,0.0,0.002,0.0,0.00829
1140,0.0,0.002,0.0,0.00225
1200,0.0,0.001,0.29,0.00425
1260,0.0,0.002,0.0,0.00685
1320,0.0,0.001,0.0,0.008300000000000002
1380,0.0,0.001,0.0,0.00821
1440,0.0,0.001,0.0,0.0
1500,0.0,0.002,0.291,0.01247
1560,0.0,0.001,0.0,0.006280000000000001
1620,0.0,0.001,0.0,0.00851
1680,0.0,0.001,0.0,0.01014
1740,0.0,0.001,0.0,0.00801
1800,0.0,0.004,0.286,0.0086
1860,0.0,0.001,0.0,0.00889
1920,0.0,0.002,0.0,0.00625
1980,0.0,0.001,0.0,0.00435
2040,0.0,0.001,0.0,0.00629
2100,0.0,0.001,0.334,0.00847
2160,0.0,0.001,0.0,0.00798
2220,0.0,0.001,0.0,0.0043
2280,0.0,0.002,0.0,0.017580000000000002
2340,0.0,0.001,0.0,0.00636
2400,0.0,0.001,0.3,0.00823
2460,0.0,0.001,0.0,0.00722
2520,0.0,0.001,0.0,0.006580000000000001
2580,0.0,0.004,0.0,0.00515
2640,0.0,0.002,0.0,0.022430000000000002
2700,0.0,0.001,0.295,0.0
2760,0.0,0.001,0.0,0.00471
2820,0.0,0.001,0.0,0.025890000000000003
2880,0.0,0.001,0.0,0.00545
2940,0.0,0.001,0.0,0.012809999999999998
3000,0.0,0.001,0.293,0.01491
3060,0.0,0.001,0.0,0.012790000000000001
3120,0.0,0.003,0.0,0.0127
3180,0.0,0.001,0.0,0.00636
3240,0.0,0.001,0.0,0.013130000000000001
3300,0.0,0.001,0.288,0.00241
3360,0.0,0.001,0.0,0.00235
3420,0.0,0.001,0.0,0.00426
3480,0.0,0.002,0.0,0.01233
3540,0.0,0.001,0.0,0.00212
3600,0.0,0.001,0.291,0.0
3660,0.0,0.001,0.0,0.011110000000000002
3720,0.0,0.001,0.0,0.0059900000000000005
3780,0.0,0.002,0.0,0.01239
3840,0.0,0.001,0.0,0.01201
3900,0.0,0.001,0.333,0.00918
3960,0.0,0.001,0.0,0.00886
4020,0.0,0.001,0.0,0.006490000000000001
4080,0.0,0.001,0.0,0.00627
4140,0.0,0.001,0.0,0.00621
4200,0.0,0.001,0.282,0.00224
4260,0.0,0.001,0.0,0.00793
4320,0.0,0.001,0.0,0.00409
4380,0.0,0.001,0.0,0.0040999999999999995
4440,0.0,0.001,0.0,0.00414
4500,0.0,0.001,0.289,0.010530000000000001
4560,0.0,0.001,0.0,0.0041
4620,0.0,0.001,0.0,0.008879999999999999
4680,0.0,0.002,0.0,0.014719999999999997
