simulation_time,driving,break,on shift break,idle,charging,reposition
0,0,0,29,46,0,0
900,22,0,29,14,5,0
1800,19,0,29,14,9,0
2700,18,0,29,19,9,0
3600,20,0,28,17,9,0
4500,13,1,28,24,7,0
5400,26,0,28,17,3,0
6300,17,0,28,21,7,0
7200,21,0,27,15,8,0
8100,10,0,27,26,10,0
9000,12,0,27,24,12,0
9900,6,0,27,30,8,0
10800,10,1,26,29,9,0
11700,6,0,26,34,9,0
12600,3,0,26,39,5,0
13500,2,0,26,41,4,0
14400,4,2,26,39,3,0
15300,0,0,26,46,2,0
16200,2,1,26,45,1,0
17100,0,1,26,45,3,0
18000,0,0,26,49,0,0
18900,0,0,26,49,0,0
19800,0,0,26,48,1,0
20700,0,0,26,49,0,0
21600,2,1,23,49,0,0
22500,1,1,23,50,0,0
23400,2,0,23,50,0,0
24300,0,0,23,51,0,0
25200,1,1,23,50,0,0
26100,6,1,24,44,0,0
27000,2,0,24,48,1,0
27900,6,0,24,45,0,0
28800,1,2,22,49,1,0
29700,5,1,22,45,1,0
30600,5,0,22,44,4,0
31500,4,0,22,44,4,0
32400,5,2,20,46,1,0
33300,14,4,20,33,3,0
34200,22,2,21,28,2,0
35100,18,0,22,28,6,0
36000,15,1,18,31,8,0
36900,22,2,18,17,12,0
37800,27,2,19,14,10,0
38700,22,1,20,20,7,0
39600,39,1,17,13,3,0
40500,21,0,17,26,10,0
41400,16,0,18,24,16,0
42300,24,0,18,14,17,0
43200,17,0,17,20,19,0
44100,33,1,17,9,12,0
45000,32,0,17,10,10,0
45900,34,0,17,8,12,0
46800,28,1,18,10,15,0
47700,27,1,18,7,13,0
48600,29,1,18,5,14,0
49500,33,1,18,8,11,0
50400,37,0,18,10,7,0
51300,26,0,18,10,16,0
52200,24,0,18,7,21,0
53100,20,0,18,9,23,0
54000,26,0,18,3,22,0
54900,30,0,20,3,14,0
55800,33,0,20,7,10,0
56700,23,0,20,11,14,0
57600,22,0,20,9,18,0
58500,27,0,20,7,15,0
59400,28,0,20,11,13,0
60300,27,0,20,9,13,0
61200,26,0,20,6,10,0
62100,34,0,20,4,10,0
63000,29,0,21,3,14,0
63900,29,0,21,4,15,0
64800,22,0,23,3,18,0
65700,28,0,23,4,13,0
66600,29,0,23,3,12,0
67500,31,0,24,0,14,0
68400,20,0,24,2,19,0
69300,22,0,25,3,17,0
70200,23,0,25,4,16,0
71100,26,0,25,3,12,0
72000,27,0,24,4,6,0
72900,28,1,23,7,11,0
73800,24,0,23,11,15,0
74700,21,0,24,10,16,0
75600,25,0,25,7,14,0
76500,28,0,25,4,13,0
